CIS	CISLabel	BN	BNlabel	NIMED	UCD13	CISLabel_processed
CIS63919440	PREGABALINE ARROW 50 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	33304	3400894412663	pregabaline arrow 50 mg, gelule
CIS64304546	LYRICA 150 mg, gélule	http://www.romedi.fr/romedi/BN3qud2392soe3tvpnotca732jote9f0t5	LYRICA	15175	3400892639710	lyrica 150 mg, gelule
CIS64406647	LYRICA 50 mg, gélule	http://www.romedi.fr/romedi/BN3qud2392soe3tvpnotca732jote9f0t5	LYRICA	21003	3400892640198	lyrica 50 mg, gelule
CIS65179437	LYRICA 200 mg, gélule	http://www.romedi.fr/romedi/BN3qud2392soe3tvpnotca732jote9f0t5	LYRICA	21005	3400892639888	lyrica 200 mg, gelule
CIS67855921	LYRICA 100 mg, gélule	http://www.romedi.fr/romedi/BN3qud2392soe3tvpnotca732jote9f0t5	LYRICA	21004	3400892639659	lyrica 100 mg, gelule
CIS67928173	LYRICA 25 mg, gélule	http://www.romedi.fr/romedi/BN3qud2392soe3tvpnotca732jote9f0t5	LYRICA	21002	3400892639949	lyrica 25 mg, gelule
CIS64386148	PREGABALINE EG 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30113	3400894150855	pregabaline eg 150 mg, gelule
CIS64926509	PREGABALINE ARROW LAB 50 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30203	3400894147954	pregabaline arrow lab 50 mg, gelule
CIS65233550	PREGABALINE ARROW LAB 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30199	3400894147435	pregabaline arrow lab 150 mg, gelule
CIS65282234	PREGABALINE ZENTIVA 25 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30171	3400894151807	pregabaline zentiva 25 mg, gelule
CIS66077225	PREGABALINE ARROW LAB 100 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30198	3400894147374	pregabaline arrow lab 100 mg, gelule
CIS66110077	PREGABALINE MYLAN 300 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	29925	3400894101130	pregabaline mylan 300 mg, gelule
CIS66145765	PREGABALINE MYLAN 75 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	29921	3400894101420	pregabaline mylan 75 mg, gelule
CIS66682740	PREGABALINE MYLAN 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	29923	3400894100829	pregabaline mylan 150 mg, gelule
CIS67243269	PREGABALINE BIOGARAN 50 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30123	3400894146315	pregabaline biogaran 50 mg, gelule
CIS69185366	PREGABALINE ARROW LAB 300 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30202	3400894147893	pregabaline arrow lab 300 mg, gelule
CIS69656583	PREGABALINE TEVA SANTE 300 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30155	3400894125952	pregabaline teva sante 300 mg, gelule
CIS69723053	PREGABALINE MYLAN 25 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	29919	3400894101079	pregabaline mylan 25 mg, gelule
CIS64315076	PREGABALINE ALTER 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31172	3400894198352	pregabaline alter 150 mg, gelule
CIS64402467	PREGABALINE SANDOZ 200 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31427	3400894246589	pregabaline sandoz 200 mg, gelule
CIS64723380	PREGABALINE PFIZER 25 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31295	3400894273615	pregabaline pfizer 25 mg, gelule
CIS64849589	PREGABALINE ALTER 75 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31173	3400894198413	pregabaline alter 75 mg, gelule
CIS65545646	PREGABALINE CRISTERS 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	30878	3400894210450	pregabaline cristers 150 mg, gelule
CIS66220723	PREGABALINE PFIZER 75 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31298	3400894273905	pregabaline pfizer 75 mg, gelule
CIS66862998	PREGABALINE EVOLUGEN 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31211	3400894156949	pregabaline evolugen 150 mg, gelule
CIS67512883	PREGABALINE ARROW 200 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	33301	3400894412205	pregabaline arrow 200 mg, gelule
CIS67613380	PREGABALINE ARROW 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	33228	3400894412144	pregabaline arrow 150 mg, gelule
CIS67838740	PREGABALINE EVOLUGEN 75 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31216	3400894157489	pregabaline evolugen 75 mg, gelule
CIS68382834	PREGABALINE ZYDUS 50 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	32458	3400894382706	pregabaline zydus 50 mg, gelule
CIS69133565	PREGABALINE SANDOZ 100 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31581	3400894246350	pregabaline sandoz 100 mg, gelule
CIS69208950	PREGABALINE SANDOZ 150 mg, gélule	http://www.romedi.fr/romedi/BN8sqe2p1i7miealguetdpm1uecll1qf84	PREGABALINE	31545	3400894246411	pregabaline sandoz 150 mg, gelule
CIS69340304	LOGIFLOX 400 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/BN0r2i1au1j1atcv3u7shhv0ld0jiafiug	LOGIFLOX	4350	3400891690545	logiflox 400 mg, comprime pellicule secable
CIS69651878	DECALOGIFLOX, comprimé pelliculé sécable	http://www.romedi.fr/romedi/BN5t69tmqbk13armsjckskrrftk5hcdnar	DECALOGIFLOX	12291	3400891716542	decalogiflox, comprime pellicule secable
CIS60290800	VALIUM ROCHE 10 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5oi56fm2u1o53b3qb2n7t5basc41eg4l	VALIUM	5864	3400890972604	valium roche 10 mg, comprime secable
CIS62568967	VALIUM ROCHE 2 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5oi56fm2u1o53b3qb2n7t5basc41eg4l	VALIUM	4594	3400890972833	valium roche 2 mg, comprime secable
CIS63196256	VALIUM 1 POUR CENT ROCHE, solution buvable en goutte	http://www.romedi.fr/romedi/BN5oi56fm2u1o53b3qb2n7t5basc41eg4l	VALIUM	6306	3400890972482	valium 1 pour cent roche, solution buvable en goutte
CIS61569856	DIAZEPAM RENAUDIN 10 mg/2 ml, solution injectable	http://www.romedi.fr/romedi/BN9n6637rta0ao3fmra169n6tc07lros0p	DIAZEPAM	16307	3400892386775	diazepam renaudin 10 mg/2 ml, solution injectable
CIS61437096	DIAZEPAM ARROW 10 mg, comprimé sécable	http://www.romedi.fr/romedi/BN9n6637rta0ao3fmra169n6tc07lros0p	DIAZEPAM	31406	3400894177180	diazepam arrow 10 mg, comprime secable
CIS67959261	VALIUM ROCHE 10 mg/2 ml, solution injectable	http://www.romedi.fr/romedi/BN5oi56fm2u1o53b3qb2n7t5basc41eg4l	VALIUM	5702	3400890972543	valium roche 10 mg/2 ml, solution injectable
CIS69437276	VALIUM ROCHE 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5oi56fm2u1o53b3qb2n7t5basc41eg4l	VALIUM	4187	3400890973144	valium roche 5 mg, comprime secable
CIS66023836	DIAZEPAM TEVA 5 mg, comprimé	http://www.romedi.fr/romedi/BN9n6637rta0ao3fmra169n6tc07lros0p	DIAZEPAM	7872	3400891471243	diazepam teva 5 mg, comprime
CIS66106869	DIAZEPAM TEVA 2 mg, comprimé	http://www.romedi.fr/romedi/BN9n6637rta0ao3fmra169n6tc07lros0p	DIAZEPAM	7871	3400891471182	diazepam teva 2 mg, comprime
CIS68176802	DIAZEPAM TEVA 10 mg, comprimé	http://www.romedi.fr/romedi/BN9n6637rta0ao3fmra169n6tc07lros0p	DIAZEPAM	7870	3400891471014	diazepam teva 10 mg, comprime
CIS61392249	AMPICILLINE PANPHARMA 1 g, poudre et solution pour préparation injectable	http://www.romedi.fr/romedi/BNsf5ckfcia3nbt76qp8msn46rohjtjnf6	AMPICILLINE	13617	3400891649215	ampicilline panpharma 1 g, poudre et solution pour preparation injectable
CIS69057530	UNACIM INJECTABLE 0,5 g/1 g, poudre pour usage parentéral	http://www.romedi.fr/romedi/BNm5gda49gm5aa7sqtoe884p7iber88age	UNACIM INJECTABLE	276	3400891271331	unacim injectable 0,5 g/1 g, poudre pour usage parenteral
CIS62436200	DILANTIN 250 mg/5 ml, solution injectable	http://www.romedi.fr/romedi/BNs4lnki7231da52fudg2eoj056q8nc2p2	DILANTIN	6781	3400891620238	dilantin 250 mg/5 ml, solution injectable
CIS60771794	PRODILANTIN 75 mg/ml, solution à diluer pour perfusion/solution injectable	http://www.romedi.fr/romedi/BNvbcvoa9jol6b2bfg1u2jpijqfj2juuep	PRODILANTIN	11622	3400892050058	prodilantin 75 mg/ml, solution a diluer pour perfusion/solution injectable
CIS66303560	DI-HYDAN 100 mg, comprimé sécable	http://www.romedi.fr/romedi/BNqjjpf6v58duj53q3c176qi17k9h0tni4	DI-HYDAN	4376	3400890260183	di-hydan 100 mg, comprime secable
CIS62469613	SPORANOX 100 mg, gélule	http://www.romedi.fr/romedi/BN5b01skmgn607e6515cfuj9vkuunhafp9	SPORANOX	5410	3400891573299	sporanox 100 mg, gelule
CIS69998156	SPORANOX 10 mg/ml, solution buvable	http://www.romedi.fr/romedi/BN5b01skmgn607e6515cfuj9vkuunhafp9	SPORANOX	11211	3400891998597	sporanox 10 mg/ml, solution buvable
CIS66188581	ITRACONAZOLE SANDOZ 100 mg, gélule	http://www.romedi.fr/romedi/BN0jtuhos6pfbvcdlp7vdr18brskga83gm	ITRACONAZOLE	21636	3400892716053	itraconazole sandoz 100 mg, gelule
CIS69662344	ITRACONAZOLE TEVA 100 mg, gélule	http://www.romedi.fr/romedi/BN0jtuhos6pfbvcdlp7vdr18brskga83gm	ITRACONAZOLE	22284	3400893082027	itraconazole teva 100 mg, gelule
CIS67768295	ITRACONAZOLE HEXAL 100 mg, gélule	http://www.romedi.fr/romedi/BN0jtuhos6pfbvcdlp7vdr18brskga83gm	ITRACONAZOLE	27964	3400893759776	itraconazole hexal 100 mg, gelule
CIS68999853	MEXILETINE AP-HP 200 mg, gélule	http://www.romedi.fr/romedi/BN6bleibjihe3off4mphdc92a3519u5r04	MEXILETINE	4236	3400890586856	mexiletine ap-hp 200 mg, gelule
CIS68999853	MEXILETINE AP-HP 200 mg, gélule	http://www.romedi.fr/romedi/BN6bleibjihe3off4mphdc92a3519u5r04	MEXILETINE	22190	3400890586856	mexiletine ap-hp 200 mg, gelule
CIS61339638	NIMOTOP 10 mg/50 ml, solution injectable pour perfusion	http://www.romedi.fr/romedi/BNamahjmthlma70b3nupfeajcp4nqel268	NIMOTOP	871	3400891290899	nimotop 10 mg/50 ml, solution injectable pour perfusion
CIS65726536	NIMOTOP 30 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNamahjmthlma70b3nupfeajcp4nqel268	NIMOTOP	454	3400891207866	nimotop 30 mg, comprime pellicule
CIS61078266	AVLOCARDYL 40 mg, comprimé sécable	http://www.romedi.fr/romedi/BN6atdtv67f7tknig0f2pjo85522g0rl25	AVLOCARDYL	4623	3400890087186	avlocardyl 40 mg, comprime secable
CIS62914611	KARNODYL 5 mg/5 ml, solution injectable en ampoule	http://www.romedi.fr/romedi/BNg9pevqnqnmemm8h33neieqdi3i08d9e0	KARNODYL	6595	3400890087247	karnodyl 5 mg/5 ml, solution injectable en ampoule
CIS63077978	PROPRANOLOL TEVA L P 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN47dpo99foeietrh5bt9t3fjrkhhd7abg	PROPRANOLOL	8542	3400891578034	propranolol teva l p 160 mg, gelule a liberation prolongee
CIS63558075	HEMANGIOL 3,75 mg/ml, solution buvable	http://www.romedi.fr/romedi/BNji01nvfqp2scnmuga4s70p70hrffdo8h	HEMANGIOL	24932	3400894022435	hemangiol 3,75 mg/ml, solution buvable
CIS63558075	HEMANGIOL 3,75 mg/ml, solution buvable	http://www.romedi.fr/romedi/BNji01nvfqp2scnmuga4s70p70hrffdo8h	HEMANGIOL	27982	3400894022435	hemangiol 3,75 mg/ml, solution buvable
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN6atdtv67f7tknig0f2pjo85522g0rl25	AVLOCARDYL	5450	3400890087308	avlocardyl l.p. 160 mg, gelule a liberation prolongee
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN47dpo99foeietrh5bt9t3fjrkhhd7abg	PROPRANOLOL	3651	3400891441208	propranolol teva l p 80 mg, gelule a liberation prolongee
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/BN47dpo99foeietrh5bt9t3fjrkhhd7abg	PROPRANOLOL	5130	3400891578263	propranolol teva 40 mg, comprime secable
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/BN47dpo99foeietrh5bt9t3fjrkhhd7abg	PROPRANOLOL	22829	3400892642840	propranolol eg 40 mg, comprime secable
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/BN47dpo99foeietrh5bt9t3fjrkhhd7abg	PROPRANOLOL	30785	3400894152286	propranolol biogaran 40 mg, comprime secable
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BN47dpo99foeietrh5bt9t3fjrkhhd7abg	PROPRANOLOL	31222	3400894195450	propranolol accord 40 mg, comprime pellicule
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/BNm7n6l4on1gnb7l0ckeeicm01veocq6op	ECAZIDE	463	3400891236033	ecazide, comprime secable
CIS61837197	LOPRIL 50 mg, comprimé sécable	http://www.romedi.fr/romedi/BNt5qvcmu1knu2jq5chsiqi0nflq9q9l6m	LOPRIL	6171	3400890551496	lopril 50 mg, comprime secable
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3t8484mc5ocu0p05l2a3ejue7126dsq1	CAPTOPRIL/HYDROCHLOROTHIAZIDE	14624	3400892598635	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable
CIS61090375	CAPTOPRIL ARROW 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	14173	3400892354897	captopril arrow 25 mg, comprime quadrisecable
CIS61665915	CAPTOPRIL EG 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	11876	3400892081045	captopril eg 25 mg, comprime quadrisecable
CIS61709621	CAPTOPRIL ZENTIVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	15363	3400892712789	captopril zentiva 50 mg, comprime secable
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3t8484mc5ocu0p05l2a3ejue7126dsq1	CAPTOPRIL/HYDROCHLOROTHIAZIDE	22798	3400892577173	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable
CIS62934083	CAPTOPRIL ZENTIVA 25 mg, comprimé sécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	15637	3400892712611	captopril zentiva 25 mg, comprime secable
CIS63516425	CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BNrtok15ep5sn4tkuq4sh8ebirnfqj2cfc	CAPTOPRIL HYDROCHLOROTHIAZIDE	14893	3400892666792	captopril hydrochlorothiazide mylan 50 mg/25 mg, comprime secable
CIS60989800	CAPTOPRIL/HYDROCHLOROTHIAZIDE TEVA 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3t8484mc5ocu0p05l2a3ejue7126dsq1	CAPTOPRIL/HYDROCHLOROTHIAZIDE	23110	3400892871738	captopril/hydrochlorothiazide teva 50 mg/25 mg, comprime secable
CIS63625079	CAPTOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3t8484mc5ocu0p05l2a3ejue7126dsq1	CAPTOPRIL/HYDROCHLOROTHIAZIDE	24635	3400893130315	captopril/hydrochlorothiazide zentiva 50 mg/25 mg, comprime secable
CIS62231576	NOYADA 5 mg/5ml, solution buvable	http://www.romedi.fr/romedi/BN9vqb2t679t51kq2afuddfqef00srpj6p	NOYADA	30655	3400894153467	noyada 5 mg/5ml, solution buvable
CIS68356259	LOPRIL 25 mg, comprimé sécable	http://www.romedi.fr/romedi/BNt5qvcmu1knu2jq5chsiqi0nflq9q9l6m	LOPRIL	5576	3400890551328	lopril 25 mg, comprime secable
CIS68218639	CAPTEA, comprimé sécable	http://www.romedi.fr/romedi/BN9n9c26a7elqbd49nt5lit1updb6f833k	CAPTEA	428	3400891235951	captea, comprime secable
CIS68762516	CAPTOPRIL MYLAN 50 mg, comprimé sécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	11510	3400892063645	captopril mylan 50 mg, comprime secable
CIS69283419	CAPTOPRIL MYLAN 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	11509	3400892063584	captopril mylan 25 mg, comprime quadrisecable
CIS64801263	CAPTOPRIL BIOGARAN 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	11546	3400892080734	captopril biogaran 25 mg, comprime quadrisecable
CIS66318480	CAPTOPRIL TEVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	22771	3400892473925	captopril teva 50 mg, comprime secable
CIS67318234	CAPTOPRIL BIOGARAN 50 mg, comprimé sécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	11547	3400892080963	captopril biogaran 50 mg, comprime secable
CIS68042657	CAPTOPRIL TEVA 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	22770	3400892473864	captopril teva 25 mg, comprime quadrisecable
CIS68080825	CAPTOPRIL EG 50 mg, comprimé sécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	11877	3400892081106	captopril eg 50 mg, comprime secable
CIS68170799	CAPTOPRIL ARROW 50 mg, comprimé sécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	14174	3400892354958	captopril arrow 50 mg, comprime secable
CIS68790106	CAPTOPRIL SANDOZ 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/BNe5bgrf6jrpr5168ma5s4drv3oaocdf55	CAPTOPRIL	12590	3400892156538	captopril sandoz 25 mg, comprime quadrisecable
CIS68078991	CAPTOPRIL/HYDROCHLOROTHIAZIDE EG 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3t8484mc5ocu0p05l2a3ejue7126dsq1	CAPTOPRIL/HYDROCHLOROTHIAZIDE	23211	3400892908212	captopril/hydrochlorothiazide eg 50 mg/25 mg, comprime secable
CIS69688360	CAPTOPRIL HYDROCHLOROTHIAZIDE SANDOZ 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BNrtok15ep5sn4tkuq4sh8ebirnfqj2cfc	CAPTOPRIL HYDROCHLOROTHIAZIDE	16225	3400892773292	captopril hydrochlorothiazide sandoz 50 mg/25 mg, comprime secable
CIS64545198	CAPTOPRIL/HYDROCHLOROTHIAZIDE ACTAVIS 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3t8484mc5ocu0p05l2a3ejue7126dsq1	CAPTOPRIL/HYDROCHLOROTHIAZIDE	25008	3400893161470	captopril/hydrochlorothiazide actavis 50 mg/25 mg, comprime secable
CIS64794025	CAPTOPRIL/HYDROCHLOROTHIAZIDE CRISTERS 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3t8484mc5ocu0p05l2a3ejue7126dsq1	CAPTOPRIL/HYDROCHLOROTHIAZIDE	29339	3400893519073	captopril/hydrochlorothiazide cristers 50 mg/25 mg, comprime secable
CIS64429514	NOYADA 25 mg/5 ml, solution buvable	http://www.romedi.fr/romedi/BN9vqb2t679t51kq2afuddfqef00srpj6p	NOYADA	28616	3400894076483	noyada 25 mg/5 ml, solution buvable
CIS66567236	TROLOVOL 300 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNcq9r054vv1b7pmrq4pd96j94i2mvjv5s	TROLOVOL	134	3400890953214	trolovol 300 mg, comprime pellicule
CIS60111813	ENALAPRIL ZENTIVA 20 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	15514	3400892699790	enalapril zentiva 20 mg, comprime secable
CIS60159128	ENALAPRIL EG 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	13742	3400892326573	enalapril eg 5 mg, comprime secable
CIS60748062	ENALAPRIL ZENTIVA 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	22866	3400892699851	enalapril zentiva 5 mg, comprime secable
CIS60482462	ENALAPRIL/HYDROCHLOROTHIAZIDE RATIOPHARM 20 mg/12,5 mg, comprimé sécable	http://www.romedi.fr/romedi/BNnvnnl6r1lohrbdt97h25e599su18eqne	ENALAPRIL/HYDROCHLOROTHIAZIDE	15864	3400892707709	enalapril/hydrochlorothiazide ratiopharm 20 mg/12,5 mg, comprime secable
CIS61736974	ENALAPRIL ARROW 20 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	14681	3400892467542	enalapril arrow 20 mg, comprime secable
CIS61779228	ENALAPRIL ZYDUS 20 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	15450	3400892344782	enalapril zydus 20 mg, comprime secable
CIS62246560	ENALAPRIL SANDOZ 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	13698	3400892314976	enalapril sandoz 5 mg, comprime secable
CIS62259814	ENALAPRIL BIOGARAN 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	13254	3400892249599	enalapril biogaran 5 mg, comprime secable
CIS62318928	ENALAPRIL/HYDROCHLOROTHIAZIDE ARROW 20 mg/12,5 mg, comprimé sécable	http://www.romedi.fr/romedi/BNnvnnl6r1lohrbdt97h25e599su18eqne	ENALAPRIL/HYDROCHLOROTHIAZIDE	14897	3400892673486	enalapril/hydrochlorothiazide arrow 20 mg/12,5 mg, comprime secable
CIS62788988	ENALAPRIL BIOGARAN 20 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	13255	3400892249421	enalapril biogaran 20 mg, comprime secable
CIS63085836	ENALAPRIL ARROW 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	14677	3400892467603	enalapril arrow 5 mg, comprime secable
CIS63429842	ENALAPRIL MYLAN 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	13352	3400892296326	enalapril mylan 5 mg, comprime secable
CIS63619539	ENALAPRIL TEVA 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	22740	3400892449913	enalapril teva 5 mg, comprime secable
CIS60543292	LERCAPRESS 20 mg/10 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNgbqeorqidcnoefb3j5v6ovlhq3sfjsaq	LERCAPRESS	24027	3400893312186	lercapress 20 mg/10 mg, comprime pellicule
CIS60536209	ENALAPRIL/HYDROCHLOROTHIAZIDE TEVA 20 mg/12,5 mg, comprimé sécable	http://www.romedi.fr/romedi/BNnvnnl6r1lohrbdt97h25e599su18eqne	ENALAPRIL/HYDROCHLOROTHIAZIDE	15928	3400892819112	enalapril/hydrochlorothiazide teva 20 mg/12,5 mg, comprime secable
CIS61783792	ENALAPRIL ACTAVIS 5 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	24147	3400892959719	enalapril actavis 5 mg, comprime secable
CIS63508866	ENALAPRIL/HYDROCHLOROTHIAZIDE SANDOZ 20 mg/12,5 mg, comprimé sécable	http://www.romedi.fr/romedi/BNnvnnl6r1lohrbdt97h25e599su18eqne	ENALAPRIL/HYDROCHLOROTHIAZIDE	25237	3400893250921	enalapril/hydrochlorothiazide sandoz 20 mg/12,5 mg, comprime secable
CIS64155419	ENALAPRIL EVOLUGEN 20 mg, comprimé sécable	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	29591	3400893169575	enalapril evolugen 20 mg, comprime secable
CIS60565730	ENALAPRIL RANBAXY 20 mg, comprimé	http://www.romedi.fr/romedi/BN5jmkmsmmnuh5vg1tb6nkqs4g188jeem3	ENALAPRIL	28411	3400893966372	enalapril ranbaxy 20 mg, comprime
