diseaseUri	CIS	CISLabel	CISLabel_processed
Q266018	CIS65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	aspirine upsa 500 mg, comprime effervescent
Q266018	CIS66565609	ASPIRINE RICHARD 500 mg, comprimé	aspirine richard 500 mg, comprime
Q266018	CIS68815221	KARDEGIC 300 mg, poudre pour solution buvable en sachet	kardegic 300 mg, poudre pour solution buvable en sachet
Q266018	CIS69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	aspirine du rhone 500 mg, comprime a croquer
Q266018	CIS68604982	RESITUNE 75 mg, comprimé gastro-résistant	resitune 75 mg, comprime gastro-resistant
Q183134	CIS62177527	CEFOTAXIME MYLAN 500 mg, poudre pour solution injectable (IM-IV)	cefotaxime mylan 500 mg, poudre pour solution injectable (im-iv)
Q183134	CIS62501705	CEFOTAXIME PANPHARMA 0,5 g, poudre pour solution injectable (IM-IV)	cefotaxime panpharma 0,5 g, poudre pour solution injectable (im-iv)
Q183134	CIS63754202	CEFOTAXIME PANPHARMA 1 g, poudre pour solution injectable (IM-IV)	cefotaxime panpharma 1 g, poudre pour solution injectable (im-iv)
Q183134	CIS65053285	CEFOTAXIME MYLAN 1 g, poudre pour solution injectable (IM-IV)	cefotaxime mylan 1 g, poudre pour solution injectable (im-iv)
Q183134	CIS69743305	CEFOTAXIME MYLAN 2 g, poudre pour solution injectable (IM-IV)	cefotaxime mylan 2 g, poudre pour solution injectable (im-iv)
Q183134	CIS65424833	CEFOTAXIME PANPHARMA 2 g, poudre pour solution injectable (IM-IV)	cefotaxime panpharma 2 g, poudre pour solution injectable (im-iv)
Q117060	CIS62381191	KAOLOGEAIS, granulés	kaologeais, granules
Q183134	CIS63918096	AZACTAM 1 g, poudre et solution pour usage parentéral	azactam 1 g, poudre et solution pour usage parenteral
Q183134	CIS61054849	CAYSTON 75 mg, poudre et solvant pour solution pour inhalation	cayston 75 mg, poudre et solvant pour solution pour inhalation
Q1765564	CIS61072758	ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule	adrenaline aguettant 1 mg/ml, solution injectable en ampoule
Q1765564	CIS60484221	SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire	septanest 40 mg/ml adrenalinee au 1/100 000, solution injectable a usage dentaire
Q1765564	CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	xylocaine 20 mg/ml adrenaline 0,005 mg/ml, solution injectable
Q1765564	CIS60197246	ADRENALINE RENAUDIN 1 mg/ml, solution injectable	adrenaline renaudin 1 mg/ml, solution injectable
Q1765564	CIS62031508	ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie	anapen 150 microgrammes/0,3 ml, solution injectable en seringue preremplie
Q1765564	CIS62538162	ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie	anapen 300 microgrammes/0,3 ml, solution injectable en seringue preremplie
Q1765564	CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	lidocaine 20 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable
Q1765564	CIS61846627	EPIPEN 0,15 mg/0,3 ml, solution injectable en stylo pré-rempli	epipen 0,15 mg/0,3 ml, solution injectable en stylo pre-rempli
Q1765564	CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	lidocaine 10 mg/ml adrenaline 0,005 mg/ml aguettant, solution injectable
Q1765564	CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	xylocaine 10 mg/ml adrenaline 0,005 mg/ml, solution injectable
Q1765564	CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	lidocaine 20 mg/ml adrenaline 0,0125 mg/ml aguettant, solution injectable
Q1765564	CIS69490204	LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable	lidocaine 10 mg/ml adrenaline 0,0100 mg/ml aguettant, solution injectable
Q1765564	CIS69150358	ADRENALINE AGUETTANT 1 mg/ml SANS SULFITE, solution injectable	adrenaline aguettant 1 mg/ml sans sulfite, solution injectable
Q1765564	CIS69325747	ADRENALINE RENAUDIN 0,25 mg/ml, solution injectable en ampoule	adrenaline renaudin 0,25 mg/ml, solution injectable en ampoule
Q1765564	CIS69553494	ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule	adrenaline renaudin 1 mg/ml, solution injectable en ampoule
Q1765564	CIS69556177	ADRENALINE RENAUDIN 0,50 mg/ml, solution injectable	adrenaline renaudin 0,50 mg/ml, solution injectable
Q183130	CIS60071952	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q183130	CIS60550568	EUPANTOL 40 mg, poudre pour solution injectable (IV)	eupantol 40 mg, poudre pour solution injectable (iv)
Q183130	CIS60670457	PANTOPRAZOLE ZENTIVA 20 mg, comprimé gastro-résistant	pantoprazole zentiva 20 mg, comprime gastro-resistant
Q183130	CIS60789970	PANTOPRAZOLE CRISTERS 20 mg, comprimé gastro-résistant	pantoprazole cristers 20 mg, comprime gastro-resistant
Q183130	CIS60905873	PANTOPRAZOLE EG 20 mg, comprimé gastro-résistant	pantoprazole eg 20 mg, comprime gastro-resistant
Q183130	CIS62257471	PANTOPRAZOLE SANDOZ 20 mg, comprimé gastro-résistant	pantoprazole sandoz 20 mg, comprime gastro-resistant
Q183130	CIS60238853	PANTOPRAZOLE CRISTERS 40 mg, comprimé gastro-résistant	pantoprazole cristers 40 mg, comprime gastro-resistant
Q183130	CIS62456523	PANTOPRAZOLE TEVA 40 mg, comprimé gastro-résistant	pantoprazole teva 40 mg, comprime gastro-resistant
Q183130	CIS63092161	PANTOPRAZOLE RATIOPHARM 20 mg, comprimé gastro-résistant	pantoprazole ratiopharm 20 mg, comprime gastro-resistant
Q183130	CIS63387090	PANTOPRAZOLE SANDOZ 40 mg, comprimé gastro-résistant	pantoprazole sandoz 40 mg, comprime gastro-resistant
Q183130	CIS63429333	PANTOPRAZOLE BOUCHARA RECORDATI 40 mg, comprimé gastro-résistant	pantoprazole bouchara recordati 40 mg, comprime gastro-resistant
Q183130	CIS63873893	PANTOPRAZOLE ALMUS 20 mg, comprimé gastro-résistant	pantoprazole almus 20 mg, comprime gastro-resistant
Q183130	CIS64033881	PANTOPRAZOLE KRKA 20 mg, comprimé gastro-résistant	pantoprazole krka 20 mg, comprime gastro-resistant
Q183130	CIS64088625	PANTOPRAZOLE ISOMED 20 mg, comprimé gastro-résistant	pantoprazole isomed 20 mg, comprime gastro-resistant
Q183130	CIS60065294	PANTOPRAZOLE ZF 20 mg, comprimé gastro-résistant	pantoprazole zf 20 mg, comprime gastro-resistant
Q183130	CIS60031527	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q183130	CIS60231339	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q183130	CIS60536611	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q183130	CIS61101010	PANTOPRAZOLE TEVA SANTE 40 mg, comprimé gastro-résistant	pantoprazole teva sante 40 mg, comprime gastro-resistant
Q183130	CIS62541436	PANTOPRAZOLE ZYDUS FRANCE 40 mg, comprimé gastro-résistant	pantoprazole zydus france 40 mg, comprime gastro-resistant
Q183130	CIS62034970	PANTOPRAZOLE RANBAXY 40 mg, comprimé gastro-résistant	pantoprazole ranbaxy 40 mg, comprime gastro-resistant
Q183130	CIS62719127	INIPEPSIA 20 mg, comprimé gastro-résistant	inipepsia 20 mg, comprime gastro-resistant
Q183130	CIS63457471	INIPOMP 20 mg, comprimé gastro-résistant	inipomp 20 mg, comprime gastro-resistant
Q183130	CIS63280786	PANTOPRAZOLE TEVA SANTE 40 mg, poudre pour solution injectable (IV)	pantoprazole teva sante 40 mg, poudre pour solution injectable (iv)
Q183130	CIS63896963	PANTOPRAZOLE TEVA SANTE 20 mg, comprimé gastro-résistant	pantoprazole teva sante 20 mg, comprime gastro-resistant
Q183130	CIS64121178	PANTOPRAZOLE ZYDUS FRANCE 20 mg, comprimé gastro-résistant	pantoprazole zydus france 20 mg, comprime gastro-resistant
Q183130	CIS64202242	PANTOPRAZOLE RATIOPHARM CONSEIL 20 mg, comprimé gastro-résistant	pantoprazole ratiopharm conseil 20 mg, comprime gastro-resistant
Q183130	CIS61406866	INIPOMP 20 mg, comprimé gastro-résistant	inipomp 20 mg, comprime gastro-resistant
Q183130	CIS61111481	PANTOPRAZOLE ACCORD 40 mg, poudre pour solution injectable	pantoprazole accord 40 mg, poudre pour solution injectable
Q183130	CIS67560860	INIPOMP 40 mg, comprimé gastro-résistant	inipomp 40 mg, comprime gastro-resistant
Q183130	CIS68729174	INIPOMP 40 mg, poudre pour solution injectable (IV)	inipomp 40 mg, poudre pour solution injectable (iv)
Q183130	CIS65220275	INIPOMP 20 mg, comprimé gastro-résistant	inipomp 20 mg, comprime gastro-resistant
Q183130	CIS67232155	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q183130	CIS64510496	PANTOPRAZOLE ALMUS 40 mg, comprimé gastro-résistant	pantoprazole almus 40 mg, comprime gastro-resistant
Q183130	CIS64728826	PANTOPRAZOLE ALTER 40 mg, comprimé gastro-résistant	pantoprazole alter 40 mg, comprime gastro-resistant
Q183130	CIS64737992	PANTOPRAZOLE PHR LAB 40 mg, comprimé gastro-résistant	pantoprazole phr lab 40 mg, comprime gastro-resistant
Q183130	CIS64853979	PANTOPRAZOLE MYLAN PHARMA 40 mg, comprimé gastro-résistant	pantoprazole mylan pharma 40 mg, comprime gastro-resistant
Q183130	CIS64873309	PANTOPRAZOLE SUN 40 mg, poudre pour solution injectable	pantoprazole sun 40 mg, poudre pour solution injectable
Q183130	CIS64805404	PANCRISTOLE 40 mg, comprimé gastro-résistant	pancristole 40 mg, comprime gastro-resistant
Q183130	CIS65619580	PANTOPRAZOLE ARROW 40 mg, poudre pour solution injectable (IV)	pantoprazole arrow 40 mg, poudre pour solution injectable (iv)
Q183130	CIS65751023	PANTOPRAZOLE PHR LAB 20 mg, comprimé gastro-résistant	pantoprazole phr lab 20 mg, comprime gastro-resistant
Q183130	CIS66187344	PANTOPRAZOLE RANBAXY 20 mg, comprimé gastro-résistant	pantoprazole ranbaxy 20 mg, comprime gastro-resistant
Q183130	CIS66595239	PANTOPRAZOLE KRKA 40 mg, comprimé gastro-résistant	pantoprazole krka 40 mg, comprime gastro-resistant
Q183130	CIS67754057	PANTOLOC CONTROL 20 mg, comprimé gastro-résistant	pantoloc control 20 mg, comprime gastro-resistant
Q183130	CIS67490401	PANTOPRAZOLE RANBAXY MEDICATION OFFICINALE 20 mg, comprimé gastro-résistant	pantoprazole ranbaxy medication officinale 20 mg, comprime gastro-resistant
Q183130	CIS67626221	PANTOPRAZOLE BIOGARAN 40 mg, comprimé gastro-résistant	pantoprazole biogaran 40 mg, comprime gastro-resistant
Q183130	CIS64891296	PANTOPRAZOLE ZENTIVA 40 mg, comprimé gastro-résistant	pantoprazole zentiva 40 mg, comprime gastro-resistant
Q183130	CIS64895526	PANTOPRAZOLE MYLAN PHARMA 20 mg, comprimé gastro-résistant	pantoprazole mylan pharma 20 mg, comprime gastro-resistant
Q183130	CIS65109848	PANTOPRAZOLE BIOGARAN 20 mg, comprimé gastro-résistant	pantoprazole biogaran 20 mg, comprime gastro-resistant
Q183130	CIS65309165	PANTOPRAZOLE ALTER 20 mg, comprimé gastrorésistant	pantoprazole alter 20 mg, comprime gastroresistant
Q183130	CIS65410328	PANTOPRAZOLE MYLAN CONSEIL 20 mg, comprimé gastro-résistant	pantoprazole mylan conseil 20 mg, comprime gastro-resistant
Q183130	CIS65801476	PANTOPRAZOLE RATIOPHARM 40 mg, comprimé gastro-résistant	pantoprazole ratiopharm 40 mg, comprime gastro-resistant
Q183130	CIS67620186	PANTOPRAZOLE ISOMED 40 mg, comprimé gastro-résistant	pantoprazole isomed 40 mg, comprime gastro-resistant
Q183130	CIS67796953	PANCRISTOLE 20 mg, comprimé gastro-résistant	pancristole 20 mg, comprime gastro-resistant
Q183130	CIS68538895	PANTOPRAZOLE EG 40 mg, comprimé gastro-résistant	pantoprazole eg 40 mg, comprime gastro-resistant
Q183130	CIS69169312	PANTOPRAZOLE TEVA 20 mg, comprimé gastro-résistant	pantoprazole teva 20 mg, comprime gastro-resistant
Q183130	CIS64806919	PANTOPRAZOLE ARROW LAB 20 mg, comprimé gastro-résistant	pantoprazole arrow lab 20 mg, comprime gastro-resistant
Q183130	CIS66870977	PANTOPRAZOLE ARROW CONSEIL 20 mg, comprimé gastro-résistant	pantoprazole arrow conseil 20 mg, comprime gastro-resistant
Q183130	CIS66105817	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q183130	CIS66314749	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q183130	CIS67471874	PANTOPRAZOLE EVOLUGEN 20 mg, comprimé gastro-résistant	pantoprazole evolugen 20 mg, comprime gastro-resistant
Q183130	CIS68203174	PANTOPRAZOLE EVOLUGEN 40 mg, comprimé gastro-résistant	pantoprazole evolugen 40 mg, comprime gastro-resistant
Q183130	CIS65479580	PANTOPRAZOLE EG LABO Conseil 20 mg, comprimé gastro-résistant	pantoprazole eg labo conseil 20 mg, comprime gastro-resistant
Q183130	CIS69424492	IPRAALOX 20 mg, comprimé gastro-résistant	ipraalox 20 mg, comprime gastro-resistant
Q183130	CIS69169038	PANTOPRAZOLE ARROW LAB 40 mg, comprimé gastro-résistant	pantoprazole arrow lab 40 mg, comprime gastro-resistant
Q183130	CIS69790109	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q183130	CIS64769794	INIPOMP 40 mg, comprimé gastro-résistant	inipomp 40 mg, comprime gastro-resistant
Q183130	CIS66440064	PANTOPRAZOLE ARROW GENERIQUES 40 mg, comprimé gastro-résistant	pantoprazole arrow generiques 40 mg, comprime gastro-resistant
Q218712	CIS60071952	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q218712	CIS60550568	EUPANTOL 40 mg, poudre pour solution injectable (IV)	eupantol 40 mg, poudre pour solution injectable (iv)
Q218712	CIS60670457	PANTOPRAZOLE ZENTIVA 20 mg, comprimé gastro-résistant	pantoprazole zentiva 20 mg, comprime gastro-resistant
Q218712	CIS60789970	PANTOPRAZOLE CRISTERS 20 mg, comprimé gastro-résistant	pantoprazole cristers 20 mg, comprime gastro-resistant
Q218712	CIS60905873	PANTOPRAZOLE EG 20 mg, comprimé gastro-résistant	pantoprazole eg 20 mg, comprime gastro-resistant
Q218712	CIS62257471	PANTOPRAZOLE SANDOZ 20 mg, comprimé gastro-résistant	pantoprazole sandoz 20 mg, comprime gastro-resistant
Q218712	CIS60238853	PANTOPRAZOLE CRISTERS 40 mg, comprimé gastro-résistant	pantoprazole cristers 40 mg, comprime gastro-resistant
Q218712	CIS62456523	PANTOPRAZOLE TEVA 40 mg, comprimé gastro-résistant	pantoprazole teva 40 mg, comprime gastro-resistant
Q218712	CIS63092161	PANTOPRAZOLE RATIOPHARM 20 mg, comprimé gastro-résistant	pantoprazole ratiopharm 20 mg, comprime gastro-resistant
Q218712	CIS63387090	PANTOPRAZOLE SANDOZ 40 mg, comprimé gastro-résistant	pantoprazole sandoz 40 mg, comprime gastro-resistant
Q218712	CIS63429333	PANTOPRAZOLE BOUCHARA RECORDATI 40 mg, comprimé gastro-résistant	pantoprazole bouchara recordati 40 mg, comprime gastro-resistant
Q218712	CIS63873893	PANTOPRAZOLE ALMUS 20 mg, comprimé gastro-résistant	pantoprazole almus 20 mg, comprime gastro-resistant
Q218712	CIS64033881	PANTOPRAZOLE KRKA 20 mg, comprimé gastro-résistant	pantoprazole krka 20 mg, comprime gastro-resistant
Q218712	CIS64088625	PANTOPRAZOLE ISOMED 20 mg, comprimé gastro-résistant	pantoprazole isomed 20 mg, comprime gastro-resistant
Q218712	CIS60065294	PANTOPRAZOLE ZF 20 mg, comprimé gastro-résistant	pantoprazole zf 20 mg, comprime gastro-resistant
Q218712	CIS60031527	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q218712	CIS60231339	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q218712	CIS60536611	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q218712	CIS61101010	PANTOPRAZOLE TEVA SANTE 40 mg, comprimé gastro-résistant	pantoprazole teva sante 40 mg, comprime gastro-resistant
Q218712	CIS62541436	PANTOPRAZOLE ZYDUS FRANCE 40 mg, comprimé gastro-résistant	pantoprazole zydus france 40 mg, comprime gastro-resistant
Q218712	CIS62034970	PANTOPRAZOLE RANBAXY 40 mg, comprimé gastro-résistant	pantoprazole ranbaxy 40 mg, comprime gastro-resistant
Q218712	CIS62719127	INIPEPSIA 20 mg, comprimé gastro-résistant	inipepsia 20 mg, comprime gastro-resistant
Q218712	CIS63457471	INIPOMP 20 mg, comprimé gastro-résistant	inipomp 20 mg, comprime gastro-resistant
Q218712	CIS63280786	PANTOPRAZOLE TEVA SANTE 40 mg, poudre pour solution injectable (IV)	pantoprazole teva sante 40 mg, poudre pour solution injectable (iv)
Q218712	CIS63896963	PANTOPRAZOLE TEVA SANTE 20 mg, comprimé gastro-résistant	pantoprazole teva sante 20 mg, comprime gastro-resistant
Q218712	CIS64121178	PANTOPRAZOLE ZYDUS FRANCE 20 mg, comprimé gastro-résistant	pantoprazole zydus france 20 mg, comprime gastro-resistant
Q218712	CIS64202242	PANTOPRAZOLE RATIOPHARM CONSEIL 20 mg, comprimé gastro-résistant	pantoprazole ratiopharm conseil 20 mg, comprime gastro-resistant
Q218712	CIS61406866	INIPOMP 20 mg, comprimé gastro-résistant	inipomp 20 mg, comprime gastro-resistant
Q218712	CIS61111481	PANTOPRAZOLE ACCORD 40 mg, poudre pour solution injectable	pantoprazole accord 40 mg, poudre pour solution injectable
Q218712	CIS67560860	INIPOMP 40 mg, comprimé gastro-résistant	inipomp 40 mg, comprime gastro-resistant
Q218712	CIS68729174	INIPOMP 40 mg, poudre pour solution injectable (IV)	inipomp 40 mg, poudre pour solution injectable (iv)
Q218712	CIS65220275	INIPOMP 20 mg, comprimé gastro-résistant	inipomp 20 mg, comprime gastro-resistant
Q218712	CIS67232155	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q218712	CIS64510496	PANTOPRAZOLE ALMUS 40 mg, comprimé gastro-résistant	pantoprazole almus 40 mg, comprime gastro-resistant
Q218712	CIS64728826	PANTOPRAZOLE ALTER 40 mg, comprimé gastro-résistant	pantoprazole alter 40 mg, comprime gastro-resistant
Q218712	CIS64737992	PANTOPRAZOLE PHR LAB 40 mg, comprimé gastro-résistant	pantoprazole phr lab 40 mg, comprime gastro-resistant
Q218712	CIS64853979	PANTOPRAZOLE MYLAN PHARMA 40 mg, comprimé gastro-résistant	pantoprazole mylan pharma 40 mg, comprime gastro-resistant
Q218712	CIS64873309	PANTOPRAZOLE SUN 40 mg, poudre pour solution injectable	pantoprazole sun 40 mg, poudre pour solution injectable
Q218712	CIS64805404	PANCRISTOLE 40 mg, comprimé gastro-résistant	pancristole 40 mg, comprime gastro-resistant
Q218712	CIS65619580	PANTOPRAZOLE ARROW 40 mg, poudre pour solution injectable (IV)	pantoprazole arrow 40 mg, poudre pour solution injectable (iv)
Q218712	CIS65751023	PANTOPRAZOLE PHR LAB 20 mg, comprimé gastro-résistant	pantoprazole phr lab 20 mg, comprime gastro-resistant
Q218712	CIS66187344	PANTOPRAZOLE RANBAXY 20 mg, comprimé gastro-résistant	pantoprazole ranbaxy 20 mg, comprime gastro-resistant
Q218712	CIS66595239	PANTOPRAZOLE KRKA 40 mg, comprimé gastro-résistant	pantoprazole krka 40 mg, comprime gastro-resistant
Q218712	CIS67754057	PANTOLOC CONTROL 20 mg, comprimé gastro-résistant	pantoloc control 20 mg, comprime gastro-resistant
Q218712	CIS67490401	PANTOPRAZOLE RANBAXY MEDICATION OFFICINALE 20 mg, comprimé gastro-résistant	pantoprazole ranbaxy medication officinale 20 mg, comprime gastro-resistant
Q218712	CIS67626221	PANTOPRAZOLE BIOGARAN 40 mg, comprimé gastro-résistant	pantoprazole biogaran 40 mg, comprime gastro-resistant
Q218712	CIS64891296	PANTOPRAZOLE ZENTIVA 40 mg, comprimé gastro-résistant	pantoprazole zentiva 40 mg, comprime gastro-resistant
Q218712	CIS64895526	PANTOPRAZOLE MYLAN PHARMA 20 mg, comprimé gastro-résistant	pantoprazole mylan pharma 20 mg, comprime gastro-resistant
Q218712	CIS65109848	PANTOPRAZOLE BIOGARAN 20 mg, comprimé gastro-résistant	pantoprazole biogaran 20 mg, comprime gastro-resistant
Q218712	CIS65309165	PANTOPRAZOLE ALTER 20 mg, comprimé gastrorésistant	pantoprazole alter 20 mg, comprime gastroresistant
Q218712	CIS65410328	PANTOPRAZOLE MYLAN CONSEIL 20 mg, comprimé gastro-résistant	pantoprazole mylan conseil 20 mg, comprime gastro-resistant
Q218712	CIS65801476	PANTOPRAZOLE RATIOPHARM 40 mg, comprimé gastro-résistant	pantoprazole ratiopharm 40 mg, comprime gastro-resistant
Q218712	CIS67620186	PANTOPRAZOLE ISOMED 40 mg, comprimé gastro-résistant	pantoprazole isomed 40 mg, comprime gastro-resistant
Q218712	CIS67796953	PANCRISTOLE 20 mg, comprimé gastro-résistant	pancristole 20 mg, comprime gastro-resistant
Q218712	CIS68538895	PANTOPRAZOLE EG 40 mg, comprimé gastro-résistant	pantoprazole eg 40 mg, comprime gastro-resistant
Q218712	CIS69169312	PANTOPRAZOLE TEVA 20 mg, comprimé gastro-résistant	pantoprazole teva 20 mg, comprime gastro-resistant
Q218712	CIS64806919	PANTOPRAZOLE ARROW LAB 20 mg, comprimé gastro-résistant	pantoprazole arrow lab 20 mg, comprime gastro-resistant
Q218712	CIS66870977	PANTOPRAZOLE ARROW CONSEIL 20 mg, comprimé gastro-résistant	pantoprazole arrow conseil 20 mg, comprime gastro-resistant
Q218712	CIS66105817	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q218712	CIS66314749	EUPANTOL 40 mg, comprimé gastro-résistant	eupantol 40 mg, comprime gastro-resistant
Q218712	CIS67471874	PANTOPRAZOLE EVOLUGEN 20 mg, comprimé gastro-résistant	pantoprazole evolugen 20 mg, comprime gastro-resistant
Q218712	CIS68203174	PANTOPRAZOLE EVOLUGEN 40 mg, comprimé gastro-résistant	pantoprazole evolugen 40 mg, comprime gastro-resistant
Q218712	CIS65479580	PANTOPRAZOLE EG LABO Conseil 20 mg, comprimé gastro-résistant	pantoprazole eg labo conseil 20 mg, comprime gastro-resistant
Q218712	CIS69424492	IPRAALOX 20 mg, comprimé gastro-résistant	ipraalox 20 mg, comprime gastro-resistant
Q218712	CIS69169038	PANTOPRAZOLE ARROW LAB 40 mg, comprimé gastro-résistant	pantoprazole arrow lab 40 mg, comprime gastro-resistant
Q218712	CIS69790109	EUPANTOL 20 mg, comprimé gastro-résistant	eupantol 20 mg, comprime gastro-resistant
Q218712	CIS64769794	INIPOMP 40 mg, comprimé gastro-résistant	inipomp 40 mg, comprime gastro-resistant
Q218712	CIS66440064	PANTOPRAZOLE ARROW GENERIQUES 40 mg, comprimé gastro-résistant	pantoprazole arrow generiques 40 mg, comprime gastro-resistant
Q127664	CIS60622868	ALEPSAL 50 mg, comprimé	alepsal 50 mg, comprime
Q127664	CIS61720831	APAROXAL 100 mg, comprimé sécable	aparoxal 100 mg, comprime secable
Q127664	CIS61475588	GARDENAL 100 mg, comprimé	gardenal 100 mg, comprime
Q127664	CIS63707416	GARDENAL 10 mg, comprimé	gardenal 10 mg, comprime
Q127664	CIS63131269	ALEPSAL 15 mg, comprimé	alepsal 15 mg, comprime
Q127664	CIS64933585	GARDENAL 40 mg/2 ml, poudre et solvant pour solution injectable	gardenal 40 mg/2 ml, poudre et solvant pour solution injectable
Q127664	CIS65391080	GARDENAL 50 mg, comprimé	gardenal 50 mg, comprime
Q127664	CIS65328906	KANEURON 5,4 POUR CENT, solution buvable en gouttes	kaneuron 5,4 pour cent, solution buvable en gouttes
Q127664	CIS66086808	ALEPSAL 100 mg, comprimé	alepsal 100 mg, comprime
Q127664	CIS68473458	GARDENAL 200 mg/4 ml, poudre et solvant pour solution injectable	gardenal 200 mg/4 ml, poudre et solvant pour solution injectable
Q127664	CIS66014762	ALEPSAL 150 mg, comprimé	alepsal 150 mg, comprime
Q1594599	CIS62362369	CAELYX 2 mg/ml, solution à diluer pour perfusion	caelyx 2 mg/ml, solution a diluer pour perfusion
Q1594599	CIS63627532	DOXORUBICINE TEVA 10 mg/5 ml, solution injectable	doxorubicine teva 10 mg/5 ml, solution injectable
Q1594599	CIS62717382	DOXORUBICINE ARROW 2 mg/ml, poudre pour solution pour perfusion	doxorubicine arrow 2 mg/ml, poudre pour solution pour perfusion
Q1594599	CIS64080831	DOXORUBICINE EG 2 mg/ml, solution pour perfusion	doxorubicine eg 2 mg/ml, solution pour perfusion
Q1594599	CIS62783375	DOXORUBICINE ACCORD 2 mg/ml, solution pour perfusion	doxorubicine accord 2 mg/ml, solution pour perfusion
Q1594599	CIS66837710	DOXORUBICINE ARROW 2 mg/ml, solution pour perfusion	doxorubicine arrow 2 mg/ml, solution pour perfusion
Q1869874	CIS62633436	LAROXYL 50 mg, comprimé pelliculé	laroxyl 50 mg, comprime pellicule
Q1869874	CIS65892928	LAROXYL 25 mg, comprimé pelliculé	laroxyl 25 mg, comprime pellicule
Q1869874	CIS68925632	ELAVIL 25 mg, comprimé pelliculé	elavil 25 mg, comprime pellicule
Q1869874	CIS68330257	LAROXYL 50 mg/2 ml, solution injectable	laroxyl 50 mg/2 ml, solution injectable
Q1869874	CIS68969066	LAROXYL 40 mg/ml, solution buvable	laroxyl 40 mg/ml, solution buvable
Q221668	CIS63709997	FUNGIZONE 50 mg, poudre pour solution injectable	fungizone 50 mg, poudre pour solution injectable
Q221668	CIS64346723	FUNGIZONE 10 POUR CENT, suspension buvable	fungizone 10 pour cent, suspension buvable
Q221668	CIS65964911	AMBISOME 50 mg, poudre pour suspension de liposomes pour perfusion	ambisome 50 mg, poudre pour suspension de liposomes pour perfusion
Q221668	CIS68211089	FUNGIZONE NOURRISSONS ET ENFANTS 10 POUR CENT, suspension buvable	fungizone nourrissons et enfants 10 pour cent, suspension buvable
Q3667186	CIS60627235	EFUDIX 5 POUR CENT, crème	efudix 5 pour cent, creme
Q1506572	CIS63484283	PRADAXA 150 mg, gélule	pradaxa 150 mg, gelule
Q1506572	CIS65570603	PRADAXA 110 mg, gélule	pradaxa 110 mg, gelule
Q1506572	CIS65693901	PRADAXA 75 mg, gélule	pradaxa 75 mg, gelule
Q2458539	CIS63671347	ZECLAR 250 mg, comprimé pelliculé	zeclar 250 mg, comprime pellicule
Q2458539	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion	zeclar 0,5 g, poudre pour solution pour perfusion
Q2458539	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable	zeclar 50 mg/ml, granules pour suspension buvable
Q2458539	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable	zeclar 25 mg/ml, granules pour suspension buvable
Q2458539	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé	clarithromycine arrow 500 mg, comprime pellicule
