CIS	CISLabel	drugClass	drugClassLabel	CISLabel_processed	drugClassLabel_processed
CIS63558075	HEMANGIOL 3,75 mg/ml, solution buvable	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants	hemangiol 3,75 mg/ml, solution buvable	bradycardisants
CIS63558075	HEMANGIOL 3,75 mg/ml, solution buvable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	hemangiol 3,75 mg/ml, solution buvable	medicaments abaissant la pression arterielle
CIS63558075	HEMANGIOL 3,75 mg/ml, solution buvable	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	hemangiol 3,75 mg/ml, solution buvable	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	avlocardyl l.p. 160 mg, gelule a liberation prolongee	antihypertenseurs sauf alpha-bloquants
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)	avlocardyl l.p. 160 mg, gelule a liberation prolongee	beta-bloquants (sauf esmolol et sotalol)
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)	avlocardyl l.p. 160 mg, gelule a liberation prolongee	beta-bloquants (sauf esmolol)
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10047	bêta-bloquants non cardio-sélectifs	avlocardyl l.p. 160 mg, gelule a liberation prolongee	beta-bloquants non cardio-selectifs
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants	avlocardyl l.p. 160 mg, gelule a liberation prolongee	bradycardisants
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	avlocardyl l.p. 160 mg, gelule a liberation prolongee	medicaments abaissant la pression arterielle
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	avlocardyl l.p. 160 mg, gelule a liberation prolongee	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS64923769	AVLOCARDYL L.P. 160 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	avlocardyl l.p. 160 mg, gelule a liberation prolongee	antihypertenseurs
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	propranolol teva l p 80 mg, gelule a liberation prolongee	antihypertenseurs sauf alpha-bloquants
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)	propranolol teva l p 80 mg, gelule a liberation prolongee	beta-bloquants (sauf esmolol et sotalol)
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)	propranolol teva l p 80 mg, gelule a liberation prolongee	beta-bloquants (sauf esmolol)
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10047	bêta-bloquants non cardio-sélectifs	propranolol teva l p 80 mg, gelule a liberation prolongee	beta-bloquants non cardio-selectifs
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants	propranolol teva l p 80 mg, gelule a liberation prolongee	bradycardisants
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	propranolol teva l p 80 mg, gelule a liberation prolongee	medicaments abaissant la pression arterielle
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	propranolol teva l p 80 mg, gelule a liberation prolongee	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS65667550	PROPRANOLOL TEVA L P 80 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	propranolol teva l p 80 mg, gelule a liberation prolongee	antihypertenseurs
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	propranolol teva 40 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)	propranolol teva 40 mg, comprime secable	beta-bloquants (sauf esmolol et sotalol)
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)	propranolol teva 40 mg, comprime secable	beta-bloquants (sauf esmolol)
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10047	bêta-bloquants non cardio-sélectifs	propranolol teva 40 mg, comprime secable	beta-bloquants non cardio-selectifs
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants	propranolol teva 40 mg, comprime secable	bradycardisants
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	propranolol teva 40 mg, comprime secable	medicaments abaissant la pression arterielle
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	propranolol teva 40 mg, comprime secable	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS67954061	PROPRANOLOL TEVA 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	propranolol teva 40 mg, comprime secable	antihypertenseurs
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	propranolol eg 40 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)	propranolol eg 40 mg, comprime secable	beta-bloquants (sauf esmolol et sotalol)
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)	propranolol eg 40 mg, comprime secable	beta-bloquants (sauf esmolol)
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10047	bêta-bloquants non cardio-sélectifs	propranolol eg 40 mg, comprime secable	beta-bloquants non cardio-selectifs
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants	propranolol eg 40 mg, comprime secable	bradycardisants
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	propranolol eg 40 mg, comprime secable	medicaments abaissant la pression arterielle
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	propranolol eg 40 mg, comprime secable	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS66415335	PROPRANOLOL EG 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	propranolol eg 40 mg, comprime secable	antihypertenseurs
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	propranolol biogaran 40 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)	propranolol biogaran 40 mg, comprime secable	beta-bloquants (sauf esmolol et sotalol)
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)	propranolol biogaran 40 mg, comprime secable	beta-bloquants (sauf esmolol)
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10047	bêta-bloquants non cardio-sélectifs	propranolol biogaran 40 mg, comprime secable	beta-bloquants non cardio-selectifs
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants	propranolol biogaran 40 mg, comprime secable	bradycardisants
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	propranolol biogaran 40 mg, comprime secable	medicaments abaissant la pression arterielle
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	propranolol biogaran 40 mg, comprime secable	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS67122698	PROPRANOLOL BIOGARAN 40 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	propranolol biogaran 40 mg, comprime secable	antihypertenseurs
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	propranolol accord 40 mg, comprime pellicule	antihypertenseurs sauf alpha-bloquants
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)	propranolol accord 40 mg, comprime pellicule	beta-bloquants (sauf esmolol et sotalol)
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)	propranolol accord 40 mg, comprime pellicule	beta-bloquants (sauf esmolol)
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10047	bêta-bloquants non cardio-sélectifs	propranolol accord 40 mg, comprime pellicule	beta-bloquants non cardio-selectifs
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants	propranolol accord 40 mg, comprime pellicule	bradycardisants
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	propranolol accord 40 mg, comprime pellicule	medicaments abaissant la pression arterielle
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	propranolol accord 40 mg, comprime pellicule	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS65135519	PROPRANOLOL ACCORD 40 mg, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	propranolol accord 40 mg, comprime pellicule	antihypertenseurs
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	ecazide, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10059	diurétiques	ecazide, comprime secable	diuretiques
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10062	diurétiques hypokaliémiants	ecazide, comprime secable	diuretiques hypokaliemiants
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10063	diurétiques thiazidiques et apparentés	ecazide, comprime secable	diuretiques thiazidiques et apparentes
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	ecazide, comprime secable	hyperkaliemiants
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10084	hypokaliémiants	ecazide, comprime secable	hypokaliemiants
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10085	hyponatrémiants	ecazide, comprime secable	hyponatremiants
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	ecazide, comprime secable	inhibiteurs de l'enzyme de conversion
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	ecazide, comprime secable	medicaments abaissant la pression arterielle
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	ecazide, comprime secable	medicaments, bradykinine et angio-oedeme
CIS62637445	ECAZIDE, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	ecazide, comprime secable	antihypertenseurs
CIS61837197	LOPRIL 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	lopril 50 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS61837197	LOPRIL 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	lopril 50 mg, comprime secable	hyperkaliemiants
CIS61837197	LOPRIL 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	lopril 50 mg, comprime secable	inhibiteurs de l'enzyme de conversion
CIS61837197	LOPRIL 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	lopril 50 mg, comprime secable	medicaments abaissant la pression arterielle
CIS61837197	LOPRIL 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	lopril 50 mg, comprime secable	medicaments, bradykinine et angio-oedeme
CIS61837197	LOPRIL 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	lopril 50 mg, comprime secable	antihypertenseurs
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10059	diurétiques	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	diuretiques
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10062	diurétiques hypokaliémiants	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	diuretiques hypokaliemiants
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10063	diurétiques thiazidiques et apparentés	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	diuretiques thiazidiques et apparentes
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	hyperkaliemiants
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10084	hypokaliémiants	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	hypokaliemiants
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10085	hyponatrémiants	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	hyponatremiants
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	inhibiteurs de l'enzyme de conversion
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	medicaments abaissant la pression arterielle
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	medicaments, bradykinine et angio-oedeme
CIS60214350	CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	captopril/hydrochlorothiazide arrow 50 mg/25 mg, comprime secable	antihypertenseurs
CIS61090375	CAPTOPRIL ARROW 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	captopril arrow 25 mg, comprime quadrisecable	antihypertenseurs sauf alpha-bloquants
CIS61090375	CAPTOPRIL ARROW 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	captopril arrow 25 mg, comprime quadrisecable	hyperkaliemiants
CIS61090375	CAPTOPRIL ARROW 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	captopril arrow 25 mg, comprime quadrisecable	inhibiteurs de l'enzyme de conversion
CIS61090375	CAPTOPRIL ARROW 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	captopril arrow 25 mg, comprime quadrisecable	medicaments abaissant la pression arterielle
CIS61090375	CAPTOPRIL ARROW 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	captopril arrow 25 mg, comprime quadrisecable	medicaments, bradykinine et angio-oedeme
CIS61090375	CAPTOPRIL ARROW 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	captopril arrow 25 mg, comprime quadrisecable	antihypertenseurs
CIS61665915	CAPTOPRIL EG 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	captopril eg 25 mg, comprime quadrisecable	antihypertenseurs sauf alpha-bloquants
CIS61709621	CAPTOPRIL ZENTIVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	captopril zentiva 50 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS61665915	CAPTOPRIL EG 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	captopril eg 25 mg, comprime quadrisecable	hyperkaliemiants
CIS61709621	CAPTOPRIL ZENTIVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	captopril zentiva 50 mg, comprime secable	hyperkaliemiants
CIS61665915	CAPTOPRIL EG 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	captopril eg 25 mg, comprime quadrisecable	inhibiteurs de l'enzyme de conversion
CIS61709621	CAPTOPRIL ZENTIVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	captopril zentiva 50 mg, comprime secable	inhibiteurs de l'enzyme de conversion
CIS61665915	CAPTOPRIL EG 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	captopril eg 25 mg, comprime quadrisecable	medicaments abaissant la pression arterielle
CIS61709621	CAPTOPRIL ZENTIVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	captopril zentiva 50 mg, comprime secable	medicaments abaissant la pression arterielle
CIS61665915	CAPTOPRIL EG 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	captopril eg 25 mg, comprime quadrisecable	medicaments, bradykinine et angio-oedeme
CIS61709621	CAPTOPRIL ZENTIVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	captopril zentiva 50 mg, comprime secable	medicaments, bradykinine et angio-oedeme
CIS61665915	CAPTOPRIL EG 25 mg, comprimé quadrisécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	captopril eg 25 mg, comprime quadrisecable	antihypertenseurs
CIS61709621	CAPTOPRIL ZENTIVA 50 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	captopril zentiva 50 mg, comprime secable	antihypertenseurs
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10059	diurétiques	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	diuretiques
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10062	diurétiques hypokaliémiants	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	diuretiques hypokaliemiants
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10063	diurétiques thiazidiques et apparentés	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	diuretiques thiazidiques et apparentes
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	hyperkaliemiants
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10084	hypokaliémiants	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	hypokaliemiants
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10085	hyponatrémiants	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	hyponatremiants
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	inhibiteurs de l'enzyme de conversion
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	medicaments abaissant la pression arterielle
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	medicaments, bradykinine et angio-oedeme
CIS62526313	CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	captopril/hydrochlorothiazide biogaran 50 mg/25 mg, comprime secable	antihypertenseurs
CIS62934083	CAPTOPRIL ZENTIVA 25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	captopril zentiva 25 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS62934083	CAPTOPRIL ZENTIVA 25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	captopril zentiva 25 mg, comprime secable	hyperkaliemiants
CIS62934083	CAPTOPRIL ZENTIVA 25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10091	inhibiteurs de l'enzyme de conversion	captopril zentiva 25 mg, comprime secable	inhibiteurs de l'enzyme de conversion
CIS62934083	CAPTOPRIL ZENTIVA 25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle	captopril zentiva 25 mg, comprime secable	medicaments abaissant la pression arterielle
CIS62934083	CAPTOPRIL ZENTIVA 25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10116	médicaments, bradykinine et angio-œdème	captopril zentiva 25 mg, comprime secable	medicaments, bradykinine et angio-oedeme
CIS62934083	CAPTOPRIL ZENTIVA 25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs	captopril zentiva 25 mg, comprime secable	antihypertenseurs
CIS63516425	CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants	captopril hydrochlorothiazide mylan 50 mg/25 mg, comprime secable	antihypertenseurs sauf alpha-bloquants
CIS63516425	CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10059	diurétiques	captopril hydrochlorothiazide mylan 50 mg/25 mg, comprime secable	diuretiques
CIS63516425	CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10062	diurétiques hypokaliémiants	captopril hydrochlorothiazide mylan 50 mg/25 mg, comprime secable	diuretiques hypokaliemiants
CIS63516425	CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10063	diurétiques thiazidiques et apparentés	captopril hydrochlorothiazide mylan 50 mg/25 mg, comprime secable	diuretiques thiazidiques et apparentes
CIS63516425	CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10082	hyperkaliémiants	captopril hydrochlorothiazide mylan 50 mg/25 mg, comprime secable	hyperkaliemiants
