diseaseWikidata	prefLabel	wikidata	CUI	synonyms	weight	prefLabel_processed	synonyms_processed
Q1077505	anurie	Q612681	C0003460	diurèse interrompue;insuffisance de formation d'urine;arret de la secretion urinaire;anurie;arrêt de la diurèse;arrêt de production d'urine;absence de formation d'urine	1.0	anurie	diurese interrompue;insuffisance de formation d'urine;arret de la secretion urinaire;anurie;arret de la diurese;arret de production d'urine;absence de formation d'urine
Q1077505	arthralgie	Q683498	C0003862	algie articulaire;arthralgie;douleur de type arthritique;articulations endolories;douleur articulaire, site non précisé;articulations douloureuses;articulation douloureuse;douleur d'allure arthritique;douleur dans une articulation;douleur articulaire;gêne articulaire	0.167	arthralgie	algie articulaire;arthralgie;douleur de type arthritique;articulations endolories;douleur articulaire, site non precise;articulations douloureuses;articulation douloureuse;douleur d'allure arthritique;douleur dans une articulation;douleur articulaire;gene articulaire
Q1077505	hyperémie	Q948806	n/a	n/a	1.0	hyperemie	n/a
Q408089	tachycardie	Q209583	C0039231;C4020868	fréquence cardiaque augmentée;accélération cardiaque;rapidité du pouls;pouls accéléré;tachycardie, non précisée;tachycardie;pouls augmenté;fréquence cardiaque élevée;battements cardiaques accélérés;acceleration du pouls;pouls rapide;tachycardie sai	0.2	tachycardie	frequence cardiaque augmentee;acceleration cardiaque;rapidite du pouls;pouls accelere;tachycardie, non precisee;tachycardie;pouls augmente;frequence cardiaque elevee;battements cardiaques acceleres;acceleration du pouls;pouls rapide;tachycardie sai
Q574975	tachycardie	Q209583	C0039231;C4020868	fréquence cardiaque augmentée;accélération cardiaque;rapidité du pouls;pouls accéléré;tachycardie, non précisée;tachycardie;pouls augmenté;fréquence cardiaque élevée;battements cardiaques accélérés;acceleration du pouls;pouls rapide;tachycardie sai	0.2	tachycardie	frequence cardiaque augmentee;acceleration cardiaque;rapidite du pouls;pouls accelere;tachycardie, non precisee;tachycardie;pouls augmente;frequence cardiaque elevee;battements cardiaques acceleres;acceleration du pouls;pouls rapide;tachycardie sai
Q408089	tremblement	Q223907	C0040822	tremblement;tremblements;tremblant	0.333	tremblement	tremblement;tremblements;tremblant
Q18554305	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q18554504	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q272002	empoisonnement	Q114953	C0032343	intoxication;intoxication sai	1.0	empoisonnement	intoxication;intoxication sai
Q6972442	anémie	Q5445	C0002871;C0162119	anemie;anémie non précisée;anémie;anémie sai;anémie, non précisée;diminution du taux d'hemoglobine;hémogobine diminuée;hémoglobine diminuée;hb diminuée;hémoglobine basse	0.2	anemie	anemie;anemie non precisee;anemie;anemie sai;anemie, non precisee;diminution du taux d'hemoglobine;hemogobine diminuee;hemoglobine diminuee;hb diminuee;hemoglobine basse
Q5514398	surdité	Q12133	C0011053;C0018772;C0339789;C1384666;C3887873	surdite tous degres np;perte auditive totale;surdité;surdité totale;pas d'audition;surdité sai;surdite;surdité bilatérale totale;perte d'audition totale;surdité non précisée;déficience auditive totale;perte partielle d'audition;surdite congenitale;surdité héréditaire;surdité congénitale;diminution de l'ouie;alteration de l'ouie;malentendant;perte d'audition;pertes auditives;hypoacousie;dur d'oreille;déficit auditif;audition diminuée;baisse de l'acuité auditive;perte auditive;perte auditive non précisée;audition réduite;reduction de l'ouie;déficience auditive	0.333	surdite	surdite tous degres np;perte auditive totale;surdite;surdite totale;pas d'audition;surdite sai;surdite;surdite bilaterale totale;perte d'audition totale;surdite non precisee;deficience auditive totale;perte partielle d'audition;surdite congenitale;surdite hereditaire;surdite congenitale;diminution de l'ouie;alteration de l'ouie;malentendant;perte d'audition;pertes auditives;hypoacousie;dur d'oreille;deficit auditif;audition diminuee;baisse de l'acuite auditive;perte auditive;perte auditive non precisee;audition reduite;reduction de l'ouie;deficience auditive
Q9334248	cénestopathie	Q3919140	n/a	n/a	1.0	cenestopathie	n/a
Q9303627	mal de dos	Q5781808	C0004604	douleur dorsale;dorso-lombalgie;dorsalgie;douleur du dos;douleurs rachidiennes;douleur du dos, non précisée;mal de dos	0.333	mal de dos	douleur dorsale;dorso-lombalgie;dorsalgie;douleur du dos;douleurs rachidiennes;douleur du dos, non precisee;mal de dos
Q221668	pollakiurie	Q352585	C0042023	fréquence de miction;micturition fréquente;fréquence de la miction augmentée;pollakiurie;miction fréquente;fréquence urinaire;fréquence urinaire augmentée;polyurie	1.0	pollakiurie	frequence de miction;micturition frequente;frequence de la miction augmentee;pollakiurie;miction frequente;frequence urinaire;frequence urinaire augmentee;polyurie
Q221668	hématurie	Q373597	C0018965	hematurie;hématurie;urines sanglantes;sang dons l' urine	0.333	hematurie	hematurie;hematurie;urines sanglantes;sang dons l' urine
Q18554305	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q408089	bronchite	Q173022	C0006277;C0008677;C0149514	bronchite, non précisée comme aiguë ou chronique;bronchite sai;bronchite;bronchite chronique;bronchite chronique sai;bronchite chronique non précisée;bronchite aiguë sai;trachéobronchite aiguë;bronchite aiguë	0.5	bronchite	bronchite, non precisee comme aigue ou chronique;bronchite sai;bronchite;bronchite chronique;bronchite chronique sai;bronchite chronique non precisee;bronchite aigue sai;tracheobronchite aigue;bronchite aigue
Q574975	Hypermétropie	Q177254	C0020490	hyperopie;hypermétrope;hypermétropie	1.0	hypermetropie	hyperopie;hypermetrope;hypermetropie
Q1077505	oligurie	Q961326	C0028961	oligurie;faiblesse production urinaire;insuffisance du volume d'urine	0.5	oligurie	oligurie;faiblesse production urinaire;insuffisance du volume d'urine
Q1077505	xérostomie	Q1162276	C0043352	hyposécrétion salivaire;hypoptyalisme;secheresse buccale;hypo-sialorrhee;sécheresse buccale;sècheresse de la bouche;bouche sèche;salive diminuée;xerostomie;secheresse de la bouche;asialie;aptyalisme;bouche devenue sèche;sécherese orale;xérostomie	0.333	xerostomie	hyposecretion salivaire;hypoptyalisme;secheresse buccale;hypo-sialorrhee;secheresse buccale;secheresse de la bouche;bouche seche;salive diminuee;xerostomie;secheresse de la bouche;asialie;aptyalisme;bouche devenue seche;secherese orale;xerostomie
Q1077505	pétéchie	Q1412657	C0031256	eruption petechique;rash pétéchial;petechies;pétéchie	1.0	petechie	eruption petechique;rash petechial;petechies;petechie
Q18554070	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q18554504	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q39222	arrêt cardio-circulatoire	Q202837	C0018790;C0085298;C0264886;C0600228;C1861884	asystole;arrêt des contractions du coeur;asystolie ventriculaire;asystolique;arrêt du coeur;arret cardiaque;asystolie;arrêt ventriculaire;arrêt cardiaque;pause cardiaque;arrêt cardio-circulatoire;arrêt cardiocirculatoire;mort soudaine d'origine cardiaque;mort cardiaque subite;mort subite d'origine cardiaque;mort subite cardiaque;mort soudaine par arrêt cardiaque;troubles de la conduction cardiaque;trouble de conduction sai;troubles de conduction;trouble de la conduction cardiaque;trouble de la conduction, non précisé;défaut de conduction sai;trouble de la conduction;arrêt cardio-pulmonaire;arrêt cardiopulmonaire;arrêt cardiorespiratoire	1.0	arret cardio-circulatoire	asystole;arret des contractions du coeur;asystolie ventriculaire;asystolique;arret du coeur;arret cardiaque;asystolie;arret ventriculaire;arret cardiaque;pause cardiaque;arret cardio-circulatoire;arret cardiocirculatoire;mort soudaine d'origine cardiaque;mort cardiaque subite;mort subite d'origine cardiaque;mort subite cardiaque;mort soudaine par arret cardiaque;troubles de la conduction cardiaque;trouble de conduction sai;troubles de conduction;trouble de la conduction cardiaque;trouble de la conduction, non precise;defaut de conduction sai;trouble de la conduction;arret cardio-pulmonaire;arret cardiopulmonaire;arret cardiorespiratoire
Q7611600	ptosis	Q622427	C0005745	blépharoptose;ptosis;ptose de la paupière, non précisée;ptose de la paupiere;ptose de la paupière	0.333	ptosis	blepharoptose;ptosis;ptose de la paupiere, non precisee;ptose de la paupiere;ptose de la paupiere
Q9303627	handicap visuel	Q737460	n/a	n/a	1.0	handicap visuel	n/a
Q408089	anorexie	Q254327	C0003123	absence d'appetit;anoréxique;perte d'appetit;anorexie;trouble de l'appetit;anorexique	1.0	anorexie	absence d'appetit;anorexique;perte d'appetit;anorexie;trouble de l'appetit;anorexique
Q460591	confusion	Q557945	n/a	n/a	0.333	confusion	n/a
Q408089	protéinurie	Q570197	C0033687	protéinurie;protéine urinaire positive;protéines urinaires positives;proteinurie	1.0	proteinurie	proteinurie;proteine urinaire positive;proteines urinaires positives;proteinurie
Q574975	hyperthermie	Q242165	n/a	n/a	1.0	hyperthermie	n/a
Q9303627	douleur	Q81938	C0030193	douleur sai;douleur	0.2	douleur	douleur sai;douleur
Q9303627	tremblement	Q223907	C0040822	tremblement;tremblements;tremblant	0.333	tremblement	tremblement;tremblements;tremblant
Q7688951	ventricule droit à double sortie	Q361648	C0013069	vddi;ventricule droit à double sortie;ventricule droit à double issue	1.0	ventricule droit a double sortie	vddi;ventricule droit a double sortie;ventricule droit a double issue
Q9303627	sciatique	Q565276	C0036396	sciatalgie;ischialgie;sciatique;algie sciatique;ischions;névralgie sciatique;névralgie du nerf sciatique	1.0	sciatique	sciatalgie;ischialgie;sciatique;algie sciatique;ischions;nevralgie sciatique;nevralgie du nerf sciatique
Q166907	agitation psychomotrice	Q394129	n/a	n/a	0.5	agitation psychomotrice	n/a
Q209647	agrypnia excitata	Q397554	n/a	n/a	1.0	agrypnia excitata	n/a
Q243257	myalgie	Q474959	C0231528	gêne musculaire;douleurs musculaires généralisées;sensibilite musculaire;douleurs dans les muscles;douleur musculaire;douleurs musculaires;myalgie;mal musculaire;endolorissement musculaire;douleur musculaire/filuosite;courbatures;douleur dans un muscle	0.25	myalgie	gene musculaire;douleurs musculaires generalisees;sensibilite musculaire;douleurs dans les muscles;douleur musculaire;douleurs musculaires;myalgie;mal musculaire;endolorissement musculaire;douleur musculaire/filuosite;courbatures;douleur dans un muscle
Q166907	ptosis	Q622427	C0005745	blépharoptose;ptosis;ptose de la paupière, non précisée;ptose de la paupiere;ptose de la paupière	0.333	ptosis	blepharoptose;ptosis;ptose de la paupiere, non precisee;ptose de la paupiere;ptose de la paupiere
Q174651	simultagnosie	Q2046811	n/a	n/a	1.0	simultagnosie	n/a
Q174651	apraxie oculo-motrice	Q2074059	n/a	n/a	1.0	apraxie oculo-motrice	n/a
Q174651	ataxie optique	Q2076329	n/a	n/a	1.0	ataxie optique	n/a
Q39222	frissonnement	Q2260058	n/a	n/a	0.167	frissonnement	n/a
Q183134	frissonnement	Q2260058	n/a	n/a	0.167	frissonnement	n/a
Q209522	syndrome d'hyperphagie compulsive	Q2303219	C0596170	hyperphagie compulsive;boulimie sans compensation;syndrome d'hyperphagie incontrôlée;hyperphagie boulimique;syndrome d'hyperphagie compulsive	1.0	syndrome d'hyperphagie compulsive	hyperphagie compulsive;boulimie sans compensation;syndrome d'hyperphagie incontrolee;hyperphagie boulimique;syndrome d'hyperphagie compulsive
Q5913958	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q6972442	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q219223	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q243257	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q243257	conjonctivite	Q167844	C0009763;C1864156	conjonctivite sai;conjonctivite, non précisée;conjonctivite	0.167	conjonctivite	conjonctivite sai;conjonctivite, non precisee;conjonctivite
Q408089	œdème du poumon	Q857667	C0034063	oedème pulmonaire;oedèmes pulmonaires;oedeme pulmonaire;oedème du poumon;oedème pulmonaire sai;oedeme du poumon;oedème aigu du poumon;oedème des poumons;oap (oedème aigu du poumon)	1.0	oedeme du poumon	oedeme pulmonaire;oedemes pulmonaires;oedeme pulmonaire;oedeme du poumon;oedeme pulmonaire sai;oedeme du poumon;oedeme aigu du poumon;oedeme des poumons;oap (oedeme aigu du poumon)
Q408089	stomatite	Q911386	C0038362;C0149704;C1568868	stomatite;mucite orale;gingivostomatite;mucite buccale;mucosite buccale;inflammation de la muqueuse buccale	1.0	stomatite	stomatite;mucite orale;gingivostomatite;mucite buccale;mucosite buccale;inflammation de la muqueuse buccale
Q219223	borborygme	Q1781127	C0232693	borborygmes	1.0	borborygme	borborygmes
Q39222	insomnie	Q1869874	C0393770;C0917801;C3279991	syndrome de retard de phase du sommeil;syndrome de retard de phase;manque de sommeil;insomnie;agrypnie;troubles du sommeil/insomnie;insomnie sai;trouble insomniaque	0.25	insomnie	syndrome de retard de phase du sommeil;syndrome de retard de phase;manque de sommeil;insomnie;agrypnie;troubles du sommeil/insomnie;insomnie sai;trouble insomniaque
Q15401586	toux	Q35805	C0010200	toux	0.2	toux	toux
Q243257	exanthème	Q653197	C0015230	rash cutané;efflorescence;eruption;rash et autre éruption cutanée non spécifique;rash;exanthème;rash (non spécifique);rash sai;éruption cutanée;exantheme	0.2	exantheme	rash cutane;efflorescence;eruption;rash et autre eruption cutanee non specifique;rash;exantheme;rash (non specifique);rash sai;eruption cutanee;exantheme
Q243257	arthralgie	Q683498	C0003862	algie articulaire;arthralgie;douleur de type arthritique;articulations endolories;douleur articulaire, site non précisé;articulations douloureuses;articulation douloureuse;douleur d'allure arthritique;douleur dans une articulation;douleur articulaire;gêne articulaire	0.167	arthralgie	algie articulaire;arthralgie;douleur de type arthritique;articulations endolories;douleur articulaire, site non precise;articulations douloureuses;articulation douloureuse;douleur d'allure arthritique;douleur dans une articulation;douleur articulaire;gene articulaire
Q7840696	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q18199350	surdité	Q12133	C0011053;C0018772;C0339789;C1384666;C3887873	surdite tous degres np;perte auditive totale;surdité;surdité totale;pas d'audition;surdité sai;surdite;surdité bilatérale totale;perte d'audition totale;surdité non précisée;déficience auditive totale;perte partielle d'audition;surdite congenitale;surdité héréditaire;surdité congénitale;diminution de l'ouie;alteration de l'ouie;malentendant;perte d'audition;pertes auditives;hypoacousie;dur d'oreille;déficit auditif;audition diminuée;baisse de l'acuité auditive;perte auditive;perte auditive non précisée;audition réduite;reduction de l'ouie;déficience auditive	0.333	surdite	surdite tous degres np;perte auditive totale;surdite;surdite totale;pas d'audition;surdite sai;surdite;surdite bilaterale totale;perte d'audition totale;surdite non precisee;deficience auditive totale;perte partielle d'audition;surdite congenitale;surdite hereditaire;surdite congenitale;diminution de l'ouie;alteration de l'ouie;malentendant;perte d'audition;pertes auditives;hypoacousie;dur d'oreille;deficit auditif;audition diminuee;baisse de l'acuite auditive;perte auditive;perte auditive non precisee;audition reduite;reduction de l'ouie;deficience auditive
Q39222	mydriase	Q1128283	C0026961	dilatation des pupilles;dilatation de la pupille;mydriase;pupilles dilatées	0.333	mydriase	dilatation des pupilles;dilatation de la pupille;mydriase;pupilles dilatees
Q221668	dysurie	Q1269399	C0013428	dysurie;douleur a la miction;douleur à la miction;miction douloureuse	1.0	dysurie	dysurie;douleur a la miction;douleur a la miction;miction douloureuse
Q39222	hyperactivité	Q1640850	n/a	n/a	1.0	hyperactivite	n/a
Q408089	asthénie	Q633403	n/a	n/a	0.333	asthenie	n/a
Q460591	arthralgie	Q683498	C0003862	algie articulaire;arthralgie;douleur de type arthritique;articulations endolories;douleur articulaire, site non précisé;articulations douloureuses;articulation douloureuse;douleur d'allure arthritique;douleur dans une articulation;douleur articulaire;gêne articulaire	0.167	arthralgie	algie articulaire;arthralgie;douleur de type arthritique;articulations endolories;douleur articulaire, site non precise;articulations douloureuses;articulation douloureuse;douleur d'allure arthritique;douleur dans une articulation;douleur articulaire;gene articulaire
Q574975	oligurie	Q961326	C0028961	oligurie;faiblesse production urinaire;insuffisance du volume d'urine	0.5	oligurie	oligurie;faiblesse production urinaire;insuffisance du volume d'urine
Q408089	néphropathie	Q1054718	C0022658;C0266292;C1408258	néphropathie sai;maladies des reins;maladies rénales;néphropathies;maladie rénale;trouble des reins;troubles rénaux;affection rénale sai;maladies du rein;trouble rénal;nephropathie sai;néphropathie;anomalie congénitale du rein sai	0.5	nephropathie	nephropathie sai;maladies des reins;maladies renales;nephropathies;maladie renale;trouble des reins;troubles renaux;affection renale sai;maladies du rein;trouble renal;nephropathie sai;nephropathie;anomalie congenitale du rein sai
Q574975	mydriase	Q1128283	C0026961	dilatation des pupilles;dilatation de la pupille;mydriase;pupilles dilatées	0.333	mydriase	dilatation des pupilles;dilatation de la pupille;mydriase;pupilles dilatees
Q5596834	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q6717114	obésité	Q12174	C0028754	obésité;obesite;obésité, non précisée	1.0	obesite	obesite;obesite;obesite, non precisee
Q1077505	frissonnement	Q2260058	n/a	n/a	0.167	frissonnement	n/a
Q1077505	mal de dos	Q5781808	C0004604	douleur dorsale;dorso-lombalgie;dorsalgie;douleur du dos;douleurs rachidiennes;douleur du dos, non précisée;mal de dos	0.333	mal de dos	douleur dorsale;dorso-lombalgie;dorsalgie;douleur du dos;douleurs rachidiennes;douleur du dos, non precisee;mal de dos
Q1077505	examen des signes méningés	Q12122651	n/a	n/a	0.5	examen des signes meninges	n/a
Q7688951	communication inter-ventriculaire	Q838139	C0018818	communications interventriculaires;communication interventriculaire congénitale;civ (communication interventriculaire);anomalies du septum interventriculaire;communication interventriculaire sai;cloison interventriculaire perméable;communications inter-ventriculaires;communication interventriculaire	1.0	communication inter-ventriculaire	communications interventriculaires;communication interventriculaire congenitale;civ (communication interventriculaire);anomalies du septum interventriculaire;communication interventriculaire sai;cloison interventriculaire permeable;communications inter-ventriculaires;communication interventriculaire
Q9303627	convulsion	Q852376	C0036572	crises motrices non precisees;convulsions sai;crises;crises épileptiques;crises d'épilepsie;convulsions;crises sai;convulsion;crise;convulsion sai	0.333	convulsion	crises motrices non precisees;convulsions sai;crises;crises epileptiques;crises d'epilepsie;convulsions;crises sai;convulsion;crise;convulsion sai
Q9303627	douleur chronique	Q1088113	C0150055	douleur chronique	0.5	douleur chronique	douleur chronique
Q9303627	vertige	Q10686316	n/a	n/a	0.25	vertige	n/a
Q9303627	étourdissement	Q10916362	C0012833	sensation vertigineuse;sensation de tete qui tourne;étourdissement;état nébuleux;etourdissement	0.2	etourdissement	sensation vertigineuse;sensation de tete qui tourne;etourdissement;etat nebuleux;etourdissement
Q7545701	faciès hypotonique	Q29642554	C1845251;C4280646	n/a	1.0	facies hypotonique	n/a
Q9303627	syncope	Q180007	C0039070	tendance lipothymique;evanouissement/syncope;syncope;lipothymie;syncope et collapsus;perte de connaissance;collapsus passager;évanouissement;etat syncopal;pâmoison;a perdu connaissance;chutes fréquentes;collapsus transitoire;evanouissement;deces	0.333	syncope	tendance lipothymique;evanouissement/syncope;syncope;lipothymie;syncope et collapsus;perte de connaissance;collapsus passager;evanouissement;etat syncopal;pamoison;a perdu connaissance;chutes frequentes;collapsus transitoire;evanouissement;deces
Q462833	délire	Q189643	C0011253	délires;idee delirante;délire;idées délirantes;symptômes délirants;idée délirante;délire sai	1.0	delire	delires;idee delirante;delire;idees delirantes;symptomes delirants;idee delirante;delire sai
Q460591	prurit	Q199602	C0033774	demangeaisons;prurit;démangeaison;avec démangeaisons;démangeaison de la peau;prurit cutané;prurit sai;prurit (sf d05 x16);affection prurigineuse non précisée;démangeaisons	0.333	prurit	demangeaisons;prurit;demangeaison;avec demangeaisons;demangeaison de la peau;prurit cutane;prurit sai;prurit (sf d05 x16);affection prurigineuse non precisee;demangeaisons
Q5596834	fièvre	Q38933	C0015967;C0085594	température élevée;fébrile;pyrexie sai;elevation de la temperature;hyperthermie;fièvre;pyrexie;élévation de la température corporelle;fiévreux;température augmentée;fievre;frissons de fièvre;frissons et fièvre	0.083	fievre	temperature elevee;febrile;pyrexie sai;elevation de la temperature;hyperthermie;fievre;pyrexie;elevation de la temperature corporelle;fievreux;temperature augmentee;fievre;frissons de fievre;frissons et fievre
Q6972442	fièvre	Q38933	C0015967;C0085594	température élevée;fébrile;pyrexie sai;elevation de la temperature;hyperthermie;fièvre;pyrexie;élévation de la température corporelle;fiévreux;température augmentée;fievre;frissons de fièvre;frissons et fièvre	0.083	fievre	temperature elevee;febrile;pyrexie sai;elevation de la temperature;hyperthermie;fievre;pyrexie;elevation de la temperature corporelle;fievreux;temperature augmentee;fievre;frissons de fievre;frissons et fievre
Q6668132	douleur	Q81938	C0030193	douleur sai;douleur	0.2	douleur	douleur sai;douleur
Q10355322	érythrodermie	Q1363741	C0011606	dermatite exfoliatrice;dermite exfoliatrice généralisée;erythrodermie;érythrodermie;dermatite exfoliatrice généralisée de wilson-brocq;dermite exfoliatrice;dermite exfoliative sai;dermite exfoliative généralisée;dermatite exfoliative;dermite exfoliatrice sai;dermite exfoliative	1.0	erythrodermie	dermatite exfoliatrice;dermite exfoliatrice generalisee;erythrodermie;erythrodermie;dermatite exfoliatrice generalisee de wilson-brocq;dermite exfoliatrice;dermite exfoliative sai;dermite exfoliative generalisee;dermatite exfoliative;dermite exfoliatrice sai;dermite exfoliative
Q9303627	insomnie	Q1869874	C0393770;C0917801;C3279991	syndrome de retard de phase du sommeil;syndrome de retard de phase;manque de sommeil;insomnie;agrypnie;troubles du sommeil/insomnie;insomnie sai;trouble insomniaque	0.25	insomnie	syndrome de retard de phase du sommeil;syndrome de retard de phase;manque de sommeil;insomnie;agrypnie;troubles du sommeil/insomnie;insomnie sai;trouble insomniaque
Q5596834	paralysie	Q107231	n/a	n/a	0.167	paralysie	n/a
Q194101	insuffisance staturale	Q7502090	C0349588	insuffisance staturale;petite stature;petite taille	1.0	insuffisance staturale	insuffisance staturale;petite stature;petite taille
Q39222	augmentation	Q9073584	n/a	n/a	1.0	augmentation	n/a
Q166907	larmoiement	Q12153824	C0423153	larmoiement	0.5	larmoiement	larmoiement
Q132971	trouble de la lecture	Q17077617	n/a	n/a	1.0	trouble de la lecture	n/a
Q183134	fièvre rémittente	Q24869904	C0239575	n/a	1.0	fievre remittente	n/a
Q243257	douleur musculosquelettique	Q45048948	C0026858	douleur musculo-squelettique;douleur musculosquelettique	1.0	douleur musculosquelettique	douleur musculo-squelettique;douleur musculosquelettique
Q39222	hydrophobie  rabique	Q56635009	C1609481	hydrophobie	1.0	hydrophobie  rabique	hydrophobie
Q5596834	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q6469283	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q6972442	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q460591	hyperesthésie	Q1638131	C0020453	hyperesthesie;hyperesthésie	1.0	hyperesthesie	hyperesthesie;hyperesthesie
Q408089	dermatite irritative	Q1799146	C0162823	dermatite irritative;dermatite de contact à un agent irritant;dermatite de contact causée par des irritants	1.0	dermatite irritative	dermatite irritative;dermatite de contact a un agent irritant;dermatite de contact causee par des irritants
Q408089	insomnie	Q1869874	C0393770;C0917801;C3279991	syndrome de retard de phase du sommeil;syndrome de retard de phase;manque de sommeil;insomnie;agrypnie;troubles du sommeil/insomnie;insomnie sai;trouble insomniaque	0.25	insomnie	syndrome de retard de phase du sommeil;syndrome de retard de phase;manque de sommeil;insomnie;agrypnie;troubles du sommeil/insomnie;insomnie sai;trouble insomniaque
Q39222	hypersialorrhée	Q761862	C0013132;C0037036	bave;bavage;hypersialie;sialorrhée;ptyalisme;polysialie;salive augmentée;hypersécrétion salivaire;sécrétion salivaire augmentée;salivation augmentée;hypersalivation	1.0	hypersialorrhee	bave;bavage;hypersialie;sialorrhee;ptyalisme;polysialie;salive augmentee;hypersecretion salivaire;secretion salivaire augmentee;salivation augmentee;hypersalivation
Q39222	paresthésie	Q769220	C0030554	paresthesie;paresthésie;parasthésie	0.333	paresthesie	paresthesie;paresthesie;parasthesie
Q166907	rhinorrhée	Q1115038	n/a	n/a	0.5	rhinorrhee	n/a
Q460591	paresthésie	Q769220	C0030554	paresthesie;paresthésie;parasthésie	0.333	paresthesie	paresthesie;paresthesie;parasthesie
Q408089	dermite de contact	Q783903	C0011616	dermite vénéneuse;dermite artificielle;dermatite de contact;dermite de contact;syndrome de la dermatite de contact;eczéma de contact	1.0	dermite de contact	dermite veneneuse;dermite artificielle;dermatite de contact;dermite de contact;syndrome de la dermatite de contact;eczema de contact
Q460591	convulsion	Q852376	C0036572	crises motrices non precisees;convulsions sai;crises;crises épileptiques;crises d'épilepsie;convulsions;crises sai;convulsion;crise;convulsion sai	0.333	convulsion	crises motrices non precisees;convulsions sai;crises;crises epileptiques;crises d'epilepsie;convulsions;crises sai;convulsion;crise;convulsion sai
Q5514398	cirrhose	Q147778	C0023890;C0239946	cirrhose;cirrhose sai;cirrhose du foie;cirrhose hépatique;fibrose hépatique;fibrose du foie	1.0	cirrhose	cirrhose;cirrhose sai;cirrhose du foie;cirrhose hepatique;fibrose hepatique;fibrose du foie
Q2076966	cécité	Q10874	C0155020;C0271215;C0456909	cécité et vision faible;cécité légale;cécité sai;aveugle;non-voyance;cecite;cécité	0.5	cecite	cecite et vision faible;cecite legale;cecite sai;aveugle;non-voyance;cecite;cecite
Q408089	douleur thoracique	Q693058	C0008031	douleur du thorax;douleur thoracique non précisée;douleur dans la poitrine;thoracalgie;douleur thoracique;douleur thoracique non spécifique	1.0	douleur thoracique	douleur du thorax;douleur thoracique non precisee;douleur dans la poitrine;thoracalgie;douleur thoracique;douleur thoracique non specifique
Q408089	amaigrissement	Q718113	C1262477	perte pondérale;poids diminué;perte de poids;perte pds;amaigrissement	0.5	amaigrissement	perte ponderale;poids diminue;perte de poids;perte pds;amaigrissement
Q408089	insuffisance rénale chronique	Q736715	C0022661;C0748318;C1561643	insuffisance renale chronique;insuffisance rénale chronique;insuffisance rénale terminale;maladie rénale terminale;défaillance rénale chronique;insuffisance rénale chronique terminale (irct);insuffisance rénale progressive;insuffisance rénale chronique	1.0	insuffisance renale chronique	insuffisance renale chronique;insuffisance renale chronique;insuffisance renale terminale;maladie renale terminale;defaillance renale chronique;insuffisance renale chronique terminale (irct);insuffisance renale progressive;insuffisance renale chronique
