CIS	CISLabel	IN	INlabel	drugUri	CISLabel_processed	INlabel_processed
CIS67877152	FENOFIBRATE ZENTIVA 160 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate zentiva 160 mg, comprime	fenofibrate
CIS68382930	FENOFIBRATE ZYDUS 67 mg, gélule	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate zydus 67 mg, gelule	fenofibrate
CIS68462198	FENOFIBRATE ZYDUS 160 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate zydus 160 mg, comprime	fenofibrate
CIS68753129	FENOFIBRATE MYLAN 160 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate mylan 160 mg, comprime pellicule	fenofibrate
CIS68849914	FENOFIBRATE BIOGARAN 160 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate biogaran 160 mg, comprime	fenofibrate
CIS69196658	FENOFIBRATE TEVA SANTE 67 mg, gélule	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate teva sante 67 mg, gelule	fenofibrate
CIS69612398	LIPANTHYL 145 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	lipanthyl 145 mg, comprime pellicule	fenofibrate
CIS69561982	FENOFIBRATE ZYDUS 200 mg, gélule	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate zydus 200 mg, gelule	fenofibrate
CIS69935871	FENOFIBRATE SANDOZ 200 mg, gélule	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate sandoz 200 mg, gelule	fenofibrate
CIS65193173	FENOFIBRATE TEVA 145 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate teva 145 mg, comprime	fenofibrate
CIS65586358	FENOFIBRATE MYLAN 145 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate mylan 145 mg, comprime	fenofibrate
CIS66127952	FENOFIBRATE SANDOZ 145 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate sandoz 145 mg, comprime	fenofibrate
CIS67222054	FENOFIBRATE BIOGARAN 145 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate biogaran 145 mg, comprime	fenofibrate
CIS68470444	FENOFIBRATE CRISTERS 67 mg, gélule	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate cristers 67 mg, gelule	fenofibrate
CIS69553238	FENOFIBRATE CRISTERS 200 mg, gélule	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate cristers 200 mg, gelule	fenofibrate
CIS65725046	FENOFIBRATE ZYDUS 145 mg, comprimé	http://www.romedi.fr/romedi/INaq6t6fis3roc5eht131c9pf8p7p2cu4g	FÉNOFIBRATE	Q419724	fenofibrate zydus 145 mg, comprime	fenofibrate
CIS62622863	SOLUPRED 5 mg, comprimé effervescent	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	solupred 5 mg, comprime effervescent	prednisolone
CIS61944313	DELIPROCT, pommade rectale	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	deliproct, pommade rectale	prednisolone
CIS63696425	DETURGYLONE, poudre et solvant pour solution pour pulvérisation nasale	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	deturgylone, poudre et solvant pour solution pour pulverisation nasale	prednisolone
CIS61335351	PREDNISOLONE ARROW 20 mg, comprimé effervescent sécable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone arrow 20 mg, comprime effervescent secable	prednisolone
CIS62002809	SOLUPRED 5 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	solupred 5 mg, comprime orodispersible	prednisolone
CIS61539350	PREDNISOLONE EG 20 mg, comprimé effervescent sécable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone eg 20 mg, comprime effervescent secable	prednisolone
CIS62597050	PREDNISOLONE BIOGARAN 20 mg, comprimé effervescent sécable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone biogaran 20 mg, comprime effervescent secable	prednisolone
CIS62743861	PREDNISOLONE ZENTIVA 20 mg, comprimé effervescent sécable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone zentiva 20 mg, comprime effervescent secable	prednisolone
CIS63226984	SOLUPRED 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	solupred 20 mg, comprime orodispersible	prednisolone
CIS66871876	SOLUPRED 20 mg, comprimé effervescent	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	solupred 20 mg, comprime effervescent	prednisolone
CIS66330098	HYDROCORTANCYL 2,5 POUR CENT, suspension injectable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	hydrocortancyl 2,5 pour cent, suspension injectable	prednisolone
CIS65569519	DELIPROCT, suppositoire	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	deliproct, suppositoire	prednisolone
CIS68925148	CORTISAL, crème	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	cortisal, creme	prednisolone
CIS68967656	SOLUPRED 1 mg/ml, solution buvable.	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	solupred 1 mg/ml, solution buvable.	prednisolone
CIS64949002	PREDNISOLONE TEVA 20 mg, comprimé effervescent sécable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone teva 20 mg, comprime effervescent secable	prednisolone
CIS67537107	PREDNISOLONE MYLAN 20 mg, comprimé effervescent sécable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone mylan 20 mg, comprime effervescent secable	prednisolone
CIS69345098	DERINOX, solution pour pulvérisation nasale	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	derinox, solution pour pulverisation nasale	prednisolone
CIS69200035	PREDNISOLONE TEVA 5 mg, comprimé effervescent	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone teva 5 mg, comprime effervescent	prednisolone
CIS69864424	PREDNISOLONE SANDOZ 20 mg, comprimé effervescent sécable	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone sandoz 20 mg, comprime effervescent secable	prednisolone
CIS65398438	PREDNISOLONE ZENTIVA 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone zentiva 20 mg, comprime orodispersible	prednisolone
CIS65009278	PREDNISOLONE ARROW 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone arrow 20 mg, comprime orodispersible	prednisolone
CIS65788737	PREDNISOLONE SANDOZ 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone sandoz 20 mg, comprime orodispersible	prednisolone
CIS66216486	PREDNISOLONE BIOGARAN 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone biogaran 20 mg, comprime orodispersible	prednisolone
CIS66730562	PREDNISOLONE EG 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone eg 20 mg, comprime orodispersible	prednisolone
CIS67411585	PREDNISOLONE TEVA 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone teva 20 mg, comprime orodispersible	prednisolone
CIS67652611	PREDNISOLONE GERDA 20 mg, comprimé orodispersible	http://www.romedi.fr/romedi/INk7h6icq2fa9km1bcsjta7liassjbk4ud	PREDNISOLONE	Q11426176	prednisolone gerda 20 mg, comprime orodispersible	prednisolone
CIS61022591	NEURONTIN 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 400 mg, gelule	gabapentine
CIS62678755	NEURONTIN 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 100 mg, gelule	gabapentine
CIS62283270	NEURONTIN 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 600 mg, comprime pellicule	gabapentine
CIS64117322	GABAPENTINE TEVA 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine teva 600 mg, comprime pellicule	gabapentine
CIS60028050	GABAPENTINE RANBAXY 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine ranbaxy 400 mg, gelule	gabapentine
CIS60105162	GABAPENTINE ZENTIVA 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine zentiva 600 mg, comprime pellicule	gabapentine
CIS60266144	GABAPENTINE CRISTERS 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine cristers 400 mg, gelule	gabapentine
CIS60362986	GABAPENTINE ARROW 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow 400 mg, gelule	gabapentine
CIS61490985	GABAPENTINE SANDOZ 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine sandoz 300 mg, gelule	gabapentine
CIS62854527	GABAPENTINE EG LABO 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine eg labo 400 mg, gelule	gabapentine
CIS62931952	GABAPENTINE EG LABO 800 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine eg labo 800 mg, comprime pellicule	gabapentine
CIS63072454	GABAPENTINE BIOGARAN 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine biogaran 300 mg, gelule	gabapentine
CIS63180946	GABAPENTINE ZYDUS 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine zydus 400 mg, gelule	gabapentine
CIS63481077	GABAPENTINE ZENTIVA 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine zentiva 300 mg, gelule	gabapentine
CIS63791791	GABAPENTINE EG LABO 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine eg labo 300 mg, gelule	gabapentine
CIS62611895	GABAPENTINE ARROW GENERIQUES 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow generiques 400 mg, gelule	gabapentine
CIS63168634	GABAPENTINE PFIZER 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine pfizer 300 mg, gelule	gabapentine
CIS63595401	GABAPENTINE ARROW 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow 300 mg, gelule	gabapentine
CIS64191283	NEURONTIN 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 300 mg, gelule	gabapentine
CIS67298504	NEURONTIN 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 300 mg, gelule	gabapentine
CIS66043963	NEURONTIN 800 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 800 mg, comprime pellicule	gabapentine
CIS64674983	GABAPENTINE TEVA 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine teva 400 mg, gelule	gabapentine
CIS64804334	GABAPENTINE BIOGARAN 800 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine biogaran 800 mg, comprime pellicule	gabapentine
CIS64869104	GABAPENTINE EVOLUGEN 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine evolugen 400 mg, gelule	gabapentine
CIS65186467	GABAPENTINE RATIOPHARM 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine ratiopharm 600 mg, comprime pellicule	gabapentine
CIS65390338	GABAPENTINE ARROW 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow 600 mg, comprime pellicule	gabapentine
CIS65547992	GABAPENTINE ALTER 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine alter 300 mg, gelule	gabapentine
CIS66119044	GABAPENTINE TEVA 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine teva 300 mg, gelule	gabapentine
CIS66263322	GABAPENTINE EG LABO 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine eg labo 100 mg, gelule	gabapentine
CIS66295505	GABAPENTINE BIOGARAN 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine biogaran 100 mg, gelule	gabapentine
CIS66596387	GABAPENTINE MYLAN 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine mylan 400 mg, gelule	gabapentine
CIS66627847	GABAPENTINE BIOGARAN 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine biogaran 600 mg, comprime pellicule	gabapentine
CIS66726119	GABAPENTINE SANDOZ 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine sandoz 100 mg, gelule	gabapentine
CIS67027289	GABAPENTINE BIOGARAN 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine biogaran 400 mg, gelule	gabapentine
CIS67035859	GABAPENTINE MYLAN 800 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine mylan 800 mg, comprime pellicule	gabapentine
CIS67517318	GABAPENTINE ALTER 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine alter 600 mg, comprime pellicule	gabapentine
CIS67666536	GABAPENTINE RATIOPHARM 800 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine ratiopharm 800 mg, comprime pellicule	gabapentine
CIS67818595	GABAPENTINE TEVA 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine teva 100 mg, gelule	gabapentine
CIS68122911	GABAPENTINE SANDOZ 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine sandoz 400 mg, gelule	gabapentine
CIS68238175	GABAPENTINE ARROW 800 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow 800 mg, comprime pellicule	gabapentine
CIS68267102	GABAPENTINE EVOLUGEN 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine evolugen 300 mg, gelule	gabapentine
CIS67407010	GABAPENTINE ARROW 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow 100 mg, gelule	gabapentine
CIS69513934	GABAPENTINE EG LABO 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine eg labo 600 mg, comprime pellicule	gabapentine
CIS65216387	GABAPENTINE SANDOZ 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine sandoz 600 mg, comprime pellicule	gabapentine
CIS65416644	GABAPENTINE PFIZER 600 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine pfizer 600 mg, comprime pellicule secable	gabapentine
CIS65629489	GABAPENTINE ARROW GENERIQUES 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow generiques 100 mg, gelule	gabapentine
CIS65889939	GABAPENTINE ARROW GENERIQUES 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine arrow generiques 300 mg, gelule	gabapentine
CIS66834109	GABAPENTINE PFIZER 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine pfizer 400 mg, gelule	gabapentine
CIS65758562	NEURONTIN 600 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 600 mg, comprime pellicule	gabapentine
CIS68831503	GABAPENTINE PFIZER 100 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine pfizer 100 mg, gelule	gabapentine
CIS69396317	NEURONTIN 400 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	neurontin 400 mg, gelule	gabapentine
CIS69962313	GABAPENTINE ZYDUS 300 mg, gélule	http://www.romedi.fr/romedi/INdfq9i0b3j6t5voeep7ogj55mia95ui5b	GABAPENTINE	Q410352	gabapentine zydus 300 mg, gelule	gabapentine
CIS60705552	OROKEN NOURRISSONS 40 mg/5 ml, poudre pour suspension buvable en flacon	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	oroken nourrissons 40 mg/5 ml, poudre pour suspension buvable en flacon	cefixime
CIS60237790	CEFIXIME ARROW 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime arrow 200 mg, comprime pellicule	cefixime
CIS60762126	CEFIXIME ZENTIVA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime zentiva 200 mg, comprime pellicule	cefixime
CIS63309743	CEFIXIME BIOGARAN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime biogaran 200 mg, comprime pellicule	cefixime
CIS62217516	CEFIXIME MYLAN PHARMA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime mylan pharma 200 mg, comprime pellicule	cefixime
CIS66907450	OROKEN ENFANTS 100 mg/5 ml, poudre pour suspension buvable en flacon	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	oroken enfants 100 mg/5 ml, poudre pour suspension buvable en flacon	cefixime
CIS67393849	OROKEN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	oroken 200 mg, comprime pellicule	cefixime
CIS64821860	CEFIXIME ALMUS 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime almus 200 mg, comprime pellicule	cefixime
CIS69038035	CEFIXIME MYLAN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime mylan 200 mg, comprime pellicule	cefixime
CIS69100387	CEFIXIME EG 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime eg 200 mg, comprime pellicule	cefixime
CIS69995637	CEFIXIME TEVA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime teva 200 mg, comprime pellicule	cefixime
CIS67490967	CEFIXIME ARROW LAB 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime arrow lab 200 mg, comprime pellicule	cefixime
CIS68809147	CEFIXIME CRISTERS 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901	cefixime cristers 200 mg, comprime pellicule	cefixime
CIS62985373	VIRGAN 1,5 mg/g, gel ophtalmique	http://www.romedi.fr/romedi/IN5ig215rjvfkpnka4ng7k5bd89ekv1jh0	GANCICLOVIR	Q417640	virgan 1,5 mg/g, gel ophtalmique	ganciclovir
CIS67147922	CYMEVAN 500 mg, poudre pour solution à diluer pour perfusion	http://www.romedi.fr/romedi/IN5ig215rjvfkpnka4ng7k5bd89ekv1jh0	GANCICLOVIR	Q417640	cymevan 500 mg, poudre pour solution a diluer pour perfusion	ganciclovir
CIS63922956	BREVIBLOC 100 mg/10 ml, solution injectable en flacon	http://www.romedi.fr/romedi/IN17dqhv8m4fhggm1t3htu1uf3kajmuau6	ESMOLOL	Q418139	brevibloc 100 mg/10 ml, solution injectable en flacon	esmolol
CIS61177887	BREVIBLOC 10 mg/ml, solution pour perfusion	http://www.romedi.fr/romedi/IN17dqhv8m4fhggm1t3htu1uf3kajmuau6	ESMOLOL	Q418139	brevibloc 10 mg/ml, solution pour perfusion	esmolol
CIS65650469	ESMOCARD 100 mg/10 ml, solution injectable	http://www.romedi.fr/romedi/IN17dqhv8m4fhggm1t3htu1uf3kajmuau6	ESMOLOL	Q418139	esmocard 100 mg/10 ml, solution injectable	esmolol
CIS62391673	LOGROTON, comprimé pelliculé sécable	http://www.romedi.fr/romedi/IN7adfajoc1fmvem68h9abelkjmrqc5mik	CHLORTALIDONE	Q425289	logroton, comprime pellicule secable	chlortalidone
CIS62980497	TENORETIC 50 mg/12,5 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/IN7adfajoc1fmvem68h9abelkjmrqc5mik	CHLORTALIDONE	Q425289	tenoretic 50 mg/12,5 mg, comprime pellicule secable	chlortalidone
CIS63709997	FUNGIZONE 50 mg, poudre pour solution injectable	http://www.romedi.fr/romedi/INsfqum69692if4vnq77jvuslc3591imi8	AMPHOTÉRICINE B	Q412223	fungizone 50 mg, poudre pour solution injectable	amphotericine b
CIS64346723	FUNGIZONE 10 POUR CENT, suspension buvable	http://www.romedi.fr/romedi/INsfqum69692if4vnq77jvuslc3591imi8	AMPHOTÉRICINE B	Q412223	fungizone 10 pour cent, suspension buvable	amphotericine b
CIS65964911	AMBISOME 50 mg, poudre pour suspension de liposomes pour perfusion	http://www.romedi.fr/romedi/INsfqum69692if4vnq77jvuslc3591imi8	AMPHOTÉRICINE B	Q412223	ambisome 50 mg, poudre pour suspension de liposomes pour perfusion	amphotericine b
